4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;5;18.5;Christ Dario (2003);;17;54.0;5;18.5;0;0.0;9.75
o;6;28.25;Probst Gabriel;**;13;55.0;8;27.75;2;-0.5;8.5
+;8;36.75;Reimann Marco;;11;55.5;8;36.75;0;0.0;9.75
o;8;46.5;Hügli Kaj;**;9;56.0;10;46.0;2;-0.5;8.5

13k;Dobler Florian;;;;;;;;;;55.0
o;;;Graber Colin;;;;;;;;8.5
+;4;8.5;Bucher Yanik (2003);;19;53.5;3;8.75;-1;0.25;9.75
o;6;18.25;Hügli Kaj;**;9;56.0;5;18.5;-1;0.25;8.5
+;12;26.75;Bieri Florian (2001);;33;26.75;12;26.75;0;0.0;9.75
-;9;36.5;Steinmann Yves;*;11;55.5;8;36.75;-1;0.25;8.75
+;13;45.25;Hasler Luis (2002);;26;44.5;16;44.5;3;-0.75;9.75

13l;Stark Urban;;;;;;;;;;55.0
-;;;Jusufi Ilber;;;;;;;;8.75
+;3;8.75;Jehle Lorenz (2003);;31;34.25;4;8.5;1;-0.25;10.0
o;4;18.75;Burren Patrick;*;11;55.5;8;17.25;4;-1.5;8.5
-;10;27.25;Gerber Andrj;*;14;54.75;10;27.25;0;0.0;9.0
+;10;36.25;Lazic Marco;;20;53.25;11;36.0;1;-0.25;10.0
o;9;46.25;Mangold Martin;*;13;55.0;13;45.25;4;-1.0;8.75

13m;Schmid Samuel;**;;;;;;;;;55.0
+;;;Widmer David;**;;;;;;;9.75
-;2;9.75;Lisser Daniel;*;11;55.5;2;9.75;0;0.0;8.75
+;5;18.5;Büttler Adrian;;12;55.25;2;19.75;-3;1.25;9.75
o;6;28.25;Gnägi Florian;***;8;56.25;9;27.5;3;-0.75;8.5
+;8;36.75;Moser Matthias;*;12;55.25;8;36.75;0;0.0;9.75
o;8;46.5;Schmutz Simon;*;8;56.25;9;46.25;1;-0.25;8.5

13n;Gnägi Damian;;;;;;;;;;55.0
-;;;Jusufi Azret;;;;;;;;8.75
+;3;8.75;Märki Fabian (2001);;31;34.25;3;8.75;0;0.0;10.0
-;4;18.75;Ris Jörn;*;16;54.25;5;18.5;1;-0.25;8.75
-;9;27.5;Arnold Kornel;*;15;54.5;11;27.0;2;-0.5;8.75
+;10;36.25;Schwob Marco;;13;55.0;9;36.5;-1;0.25;10.0
o;9;46.25;Schillig Willi;**;24;45.5;12;45.5;3;-0.75;8.75

13o;Mangold Martin;*;;;;;;;;;55.0
o;;;Moser Matthias;*;;;;;;;8.5
o;4;8.5;Stüdeli Thomas;**;3;57.5;3;8.75;-1;0.25;8.5
