4045-2018-06-03_97_Urner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;111.75
o;7;18.5;Ambühl Joel;*;8;56.5;7;18.5;0;0.0;8.5
o;13;27.0;Arnold Sebastian;;22;52.75;18;25.75;5;-1.25;8.5

23m;Arnold Kilian (2002);;;;;;;;;;35.5
+;;;Ulrich Damian;;;;;;;;10.0
o;2;10.0;Betschart Michael;;15;54.75;2;10.0;0;0.0;8.5
o;7;18.5;Heinzer Ronny;*;13;55.25;7;18.5;0;0.0;8.5
o;13;27.0;Hürlimann Marco (2002);;19;53.75;13;27.0;0;0.0;8.5

23n;Vogel Laurin (2002);;;;;;;;;;35.5
+;;;Müller Patrick;;;;;;;;10.0
o;2;10.0;Bürgi Tobias;;15;54.75;2;10.0;0;0.0;8.5
o;7;18.5;Gwerder Michael (2000);*;10;56.0;11;17.5;4;-1.0;8.5
o;13;27.0;Kaufmann Jens;;18;54.0;14;26.75;1;-0.25;8.5

23o;Baumann Lukas;;;;;;;;;;35.5
+;;;Herger Simon;;;;;;;;9.75
o;3;9.75;Herger Fabian;*;8;56.5;4;9.0;1;-0.75;8.5
-;8;18.25;Käslin Ruedi;*;11;55.75;7;18.5;-1;0.25;8.75
o;13;27.0;Bissig Fabian;;12;55.5;13;27.0;0;0.0;8.5

23p;Vogler Jakob (2000);;;;;;;;;;35.5
o;;;Herger Simon 1 (2002);;;;;;;;8.5
+;6;8.5;Roner Remo (2002);;28;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Stöckli Damian;*;10;56.0;11;17.5;4;-1.0;8.5
o;13;27.0;Gisler Silvan (2002);;19;53.75;14;26.75;1;-0.25;8.5

23q;Herger Marco (2002);;;;;;;;;;35.5
o;;;Zürcher Ueli (2000);;;;;;;;8.5
+;6;8.5;Rogenmoser Linus (2002);;23;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Bucher Roland;*;11;55.75;10;17.75;3;-0.75;8.5
o;13;27.0;von Flüe Michael;;17;54.25;13;27.0;0;0.0;8.5

23r;Müller Patrick;;;;;;;;;;35.5
o;;;Vogel Laurin (2002);;;;;;;;8.5
o;6;8.5;Fellmann Simon;;20;53.5;5;8.75;-1;0.25;8.5
o;13;17.0;Hodler Mathias;;23;35.5;13;17.0;0;0.0;8.5
+;19;25.5;Herger Elias (2002);;28;34.0;19;25.5;0;0.0;10.0

23s;Herger Simon;;;;;;;;;;35.5
o;;;Baumann Lukas;;;;;;;;8.5
+;6;8.5;Britschgi Markus;;16;54.5;5;8.75;-1;0.25;9.75
o;8;18.25;Schürpf Bruno;*;11;55.75;12;17.25;4;-1.0;8.5
o;14;26.75;Wüest David (2000);;13;55.25;13;27.0;-1;0.25;8.75

23t;Hürlimann Ueli (2001);;;;;;;;;;35.5
+;;;Jauch Marco (2002);;;;;;;;9.75
o;3;9.75;Zanini David (2000);;17;54.25;2;10.0;-1;0.25;8.5
o;8;18.25;Wyrsch Silvio;*;18;54.0;12;17.25;4;-1.0;8.5
-;14;26.75;Arnold Lukas;;29;27.0;13;27.0;-1;0.25;8.75

23u;Suter Bruno (2002);;;;;;;;;;35.5
+;;;Ziegler Elias;;;;;;;;9.75
o;3;9.75;Reichmuth Roland;;5;57.25;2;10.0;-1;0.25;8.5
o;8;18.25;Stucki Christian;*;29;27.0;12;17.25;4;-1.0;8.75
o;13;27.0;Durrer Ueli;;17;54.25;13;27.0;0;0.0;8.5

24a;Müller Mathias;;;;;;;;;;35.25
o;;;Reichmuth Roland;;;;;;;;8.5
+;6;8.5;Suter Lukas (2002);;24;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Graber Michael;*;16;54.5;12;17.25;4;-1.0;8.5
o;14;26.75;Heinzer Josef;;13;55.25;13;27.0;-1;0.25;8.5

24b;Müller Ivo (2002);;;;;;;;;;35.25
+;;;Mignola Michele (2000);;;;;;;;9.75
o;3;9.75;Barmet Sven;;18;54.0;2;10.0;-1;0.25;8.5
o;8;18.25;Ziegler Moritz;;17;54.25;11;17.5;3;-0.75;8.5
o;14;26.75;Elsener Manuel;;16;54.5;7;28.5;-7;1.75;8.5

24c;Jauch Marco (2002);;;;;;;;;;35.25
o;;;Hürlimann Ueli (2001);;;;;;;;8.5
o;6;8.5;Stutzer Michael;;23;35.5;5;8.75;-1;0.25;8.5
+;13;17.0;Crotta Robin (2001);;22;52.75;12;17.25;-1;0.25;9.75
o;14;26.75;Ettlin Martin;;10;56.0;13;27.0;-1;0.25;8.5

24d;Baumann Reto;;;;;;;;;;35.25
o;;;Suter Beat;;;;;;;;8.5
+;6;8.5;Bienz Manuel;;26;34.5;6;8.5;0;0.0;9.75
o;8;18.25;Müller Roger;*;12;55.5;13;17.0;5;-1.25;8.5
o;14;26.75;von Euw Lukas (2002);;17;54.25;13;27.0;-1;0.25;8.5

24e;Odermatt Fabian (2002);;;;;;;;;;35.25
+;;;Zgraggen Sandro (2001);;;;;;;;9.75
o;3;9.75;Suter Samuel;;15;54.75;2;10.0;-1;0.25;8.5
o;8;18.25;Gisler Noah (2002);;21;53.0;11;17.5;3;-0.75;8.5
o;14;26.75;Gisler Mario (2000);;23;35.5;18;25.75;4;-1.0;8.5

24f;Suter Lukas (2002);;;;;;;;;;35.25
o;;;Gasser Dominik 1;;;;;;;;8.5
o;6;8.5;Müller Mathias;;24;35.25;6;8.5;0;0.0;8.5
o;13;17.0;Bühlmann Daniel (2000);;17;54.25;12;17.25;-1;0.25;8.5
+;19;25.5;Zgraggen Sandro (2001);;28;34.0;19;25.5;0;0.0;9.75

25a;Zberg Kilian (2002);;;;;;;;;;34.75
-;;;Bürlimann Simo (2002);;;;;;;;8.75
-;5;8.75;Gisler Lukas (2001);;21;53.0;4;9.0;-1;0.25;8.75
o;11;17.5;Zumstein Marcel;;18;54.0;11;17.5;0;0.0;8.75
o;16;26.25;Vogler Jonas;;19;53.75;14;26.75;-2;0.5;8.5

26a;Arnold Marco (2001);;;;;;;;;;34.5
o;;;Spichtig Aldo;;;;;;;;8.5
o;6;8.5;von Wyl Simon;;19;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Suter Raphael (2000);;23;35.5;13;17.0;0;0.0;8.5
-;19;25.5;Bienz Manuel;;26;34.5;19;25.5;0;0.0;9.0

26b;Bienz Manuel;;;;;;;;;;34.5
o;;;Arnold Lukas;;;;;;;;8.5
o;6;8.5;Baumann Reto;;24;35.25;6;8.5;0;0.0;8.5
o;13;17.0;Gisler Silvan (2002);;19;53.75;13;17.0;0;0.0;8.5
-;19;25.5;Arnold Marco (2001);;26;34.5;19;25.5;0;0.0;9.0

27a;Kempf Fabian (2002);;;;;;;;;;34.25
o;;;Suter Samuel;;;;;;;;8.5
o;6;8.5;Baumann Marco;;16;54.5;5;8.75;-1;0.25;8.5
o;13;17.0;Gasser Dominik 2;;23;35.5;13;17.0;0;0.0;8.75
o;18;25.75;Ulrich Damian;;19;53.75;14;26.75;-4;1.0;8.5

27b;Stadler Mike (2002);;;;;;;;;;34.25
o;;;Hürlimann Marco (2002);;;;;;;;8.5
o;6;8.5;Gander Benjamin (2000);;23;35.5;6;8.5;0;0.0;8.5
o;13;17.0;Dittli Mathias (2002);;23;35.5;12;17.25;-1;0.25;8.5
o;19;25.5;Crotta Robin (2001);;22;52.75;18;25.75;-1;0.25;8.75

27c;Arnold Samuel (2001);;;;;;;;;;34.25
o;;;Hürlimann Mathias (2000);;;;;;;;8.5
-;6;8.5;Käslin Valentin (2000);;17;54.25;6;8.5;0;0.0;8.75
o;12;17.25;Waser Christoph (2002);;22;52.75;11;17.5;-1;0.25;8.5
o;18;25.75;Gisler Lukas (2001);;21;53.0;16;26.25;-2;0.5;8.5

28a;Zgraggen Sandro (2001);;;;;;;;;;34.0
o;;;Odermatt Fabian (2002);;;;;;;;8.5
o;6;8.5;Durrer Lukas;;16;54.5;5;8.75;-1;0.25;8.5
o;13;17.0;Ziegler Elias;;19;53.75;12;17.25;-1;0.25;8.5
o;19;25.5;Suter Lukas (2002);;24;35.25;19;25.5;0;0.0;8.5

28b;Imholz Elias;;;;;;;;;;34.0
o;;;Wyss Sven (2001);;;;;;;;8.5
o;6;8.5;Forster Christian;;16;54.5;6;8.5;0;0.0;8.5
o;13;17.0;Ulrich Damian;;19;53.75;13;17.0;0;0.0;8.5
o;19;25.5;Giger Janik (2002);;19;53.75;14;26.75;-5;1.25;8.5

28c;Herger Elias (2002);;;;;;;;;;34.0
o;;;von Euw Lukas (2002);;;;;;;;8.5
o;6;8.5;Mignola Michele (2000);;21;53.0;5;8.75;-1;0.25;8.5
o;13;17.0;Rogenmoser Linus (2002);;23;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Müller Patrick;;23;35.5;19;25.5;0;0.0;8.5

28d;Roner Remo (2002);;;;;;;;;;34.0
o;;;Meier Daniel (2000);;;;;;;;8.5
o;6;8.5;Vogler Jakob (2000);;23;35.5;6;8.5;0;0.0;8.5
o;13;17.0;Eﬃnger Peter;;17;54.25;12;17.25;-1;0.25;8.5
o;19;25.5;Mignola Lorenzo;;17;54.25;18;25.75;-1;0.25;8.5

29a;Stucki Christian;*;;;;;;;;;27.0
o;;;Streiff Dominik;*;;;;;;;8.75
o;5;8.75;Kempf Elias;**;6;57.0;5;8.75;0;0.0;8.5
+;12;17.25;Suter Bruno (2002);;23;35.5;8;18.25;-4;1.0;9.75

29b;Herger Simon 1 (2002);;;;;;;;;;27.0
+;;;Vogler Jakob (2000);;;;;;;;10.0
o;2;10.0;Meier Daniel (2000);;19;53.75;2;10.0;0;0.0;8.5
o;7;18.5;Ottiger Lukas;;8;56.5;7;18.5;0;0.0;8.5

29c;Arnold Lukas;;;;;;;;;;27.0
+;;;Bienz Manuel;;;;;;;;10.0
o;2;10.0;Scherer Niklaus;*;13;55.25;5;8.75;3;-1.25;8.5
o;7;18.5;Huber Alex;*;12;55.5;7;18.5;0;0.0;8.5

30a;Wetzstein Adrian;*;;;;;;;;;26.0
-;;;Scherer Niklaus;*;;;;;;;8.75
o;5;8.75;Durrer Robin;;8;56.5;3;9.75;-2;1.0;8.5
-;12;17.25;Graber Sandro;;17;54.25;7;18.5;-5;1.25;8.75

31a;Fink Bruno;*;;;;;;;;;17.25
o;;;Baumann Roger;*;;;;;;;8.5
o;6;8.5;Heinzer Stefan;*;1;111.75;1;19.0;-5;10.5;8.75

31b;Bürlimann Simo (2002);;;;;;;;;;17.25
-;;;Zberg Kilian (2002);;;;;;;;8.75
o;5;8.75;Beffa Mario;;11;55.75;5;8.75;0;0.0;8.5

32a;Kempf Damian;;;;;;;;;;8.5
o;;;Vogel Marcel;;;;;;;;8.5

