3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
+;11;26.5;Pulfer Thomas;*;27;34.5;13;26.0;2;-0.5;10.0
o;9;36.5;Schenk Patrick;***;12;54.5;10;36.25;1;-0.25;8.5
+;14;45.0;Berger René;**;19;52.75;17;44.25;3;-0.75;10.0

11a;Omlin Toni;*;;;;;;;;;54.75
-;;;Blaser Roman;*;;;;;;;8.75
+;4;8.75;Leuenberger Michael;*;19;52.75;5;8.5;1;-0.25;10.0
o;4;18.75;Rychen Roger;***;3;56.75;6;18.25;2;-0.5;8.5
-;8;27.25;Orlik Curdin;**;12;54.5;8;27.25;0;0.0;8.75
+;11;36.0;Zbinden Adrian;*;19;52.75;12;35.75;1;-0.25;10.0
-;10;46.0;Egli Pirmin;**;7;55.75;6;47.0;-4;1.0;8.75

11b;Geisser Lars;**;;;;;;;;;54.75
-;;;Rohrer Ivan;**;;;;;;;8.75
-;4;8.75;Müller Michael;**;23;35.75;5;8.5;1;-0.25;9.0
+;8;17.75;Wenger Marcel (1999);*;24;35.25;6;18.25;-2;0.5;9.75
-;7;27.5;Imhof Andi;***;11;54.75;8;27.25;1;-0.25;8.75
-;10;36.25;Schütz Urs;**;11;54.75;10;36.25;0;0.0;8.75
+;14;45.0;Hurschler Thomas;**;17;53.25;15;44.75;1;-0.25;9.75

11c;Roth Martin;*;;;;;;;;;54.75
-;;;Kälin Roland;**;;;;;;;8.75
-;4;8.75;Wittwer Jan;*;11;54.75;4;8.75;0;0.0;9.0
+;8;17.75;Höfliger Andreas;**;28;34.25;11;17.0;3;-0.75;9.75
o;7;27.5;Ulrich Andreas;***;7;55.75;8;27.25;1;-0.25;8.75
o;10;36.25;Steffen Gustav;*;9;55.25;13;35.5;3;-0.75;8.5
+;15;44.75;Schlüchter Colin;*;18;53.0;16;44.5;1;-0.25;10.0

11d;Imhof Andi;***;;;;;;;;;54.75
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Schlüchter Colin;*;18;53.0;1;10.0;-3;1.25;9.75
-;5;18.5;Roschi Ruedi;**;10;55.0;4;18.75;-1;0.25;8.75
-;8;27.25;Geisser Lars;**;11;54.75;7;27.5;-1;0.25;9.0
-;10;36.25;Luginbühl Hanspeter;**;15;53.75;10;36.25;0;0.0;8.75
+;14;45.0;Koch Thomas;*;15;53.75;13;45.25;-1;0.25;9.75

11e;Bürli Roger;**;;;;;;;;;54.75
+;;;Scheuner Michael;*;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;7;55.75;5;8.5;3;-1.25;8.5
-;6;18.25;Fankhauser Reto;*;24;35.25;9;17.5;3;-0.75;9.0
+;8;27.25;Berger René;**;19;52.75;8;27.25;0;0.0;9.75
-;7;37.0;Kid Simon;**;12;54.5;7;37.0;0;0.0;8.75
-;11;45.75;Ramseier Fritz;**;12;54.5;11;45.75;0;0.0;9.0

11f;Kälin Roland;**;;;;;;;;;54.75
-;;;Roth Martin;*;;;;;;;8.75
+;4;8.75;Steffen Konrad;*;12;54.5;5;8.5;1;-0.25;10.0
o;4;18.75;Zenger Niklaus;***;3;56.75;6;18.25;2;-0.5;8.75
-;7;27.5;Luginbühl Hanspeter;**;15;53.75;7;27.5;0;0.0;8.75
+;10;36.25;Orlik Curdin;**;12;54.5;11;36.0;1;-0.25;10.0
o;9;46.25;Orlik Armon;***;3;56.75;7;46.75;-2;0.5;8.5

11g;Wittwer Jan;*;;;;;;;;;54.75
-;;;Bürgi Reto;*;;;;;;;8.75
-;4;8.75;Roth Martin;*;11;54.75;4;8.75;0;0.0;9.0
+;8;17.75;Blaser Theo;*;15;53.75;6;18.25;-2;0.5;9.75
-;7;27.5;Fankhauser Erich;***;11;54.75;8;27.25;1;-0.25;8.75
+;10;36.25;Zimmermann Martin;**;12;54.5;7;37.0;-3;0.75;10.0
o;9;46.25;Schurtenberger Sven;***;3;56.75;7;46.75;-2;0.5;8.5

11h;Fankhauser Erich;***;;;;;;;;;54.75
-;;;Schenk Patrick;***;;;;;;;8.75
o;4;8.75;Weyermann Florian;*;8;55.5;2;9.75;-2;1.0;8.5
+;10;17.25;Wüthrich Niklaus;**;8;55.5;6;18.25;-4;1.0;10.0
-;8;27.25;Wittwer Jan;*;11;54.75;7;27.5;-1;0.25;9.0
+;10;36.25;Kuster Marcel;***;19;52.75;12;35.75;2;-0.5;9.75
o;10;46.0;Schneider Domenic;***;3;56.75;7;46.75;-3;0.75;8.75

11i;Vonlaufen Alexander;**;;;;;;;;;54.75
-;;;Berger René;**;;;;;;;8.75
o;4;8.75;Orlik Curdin;**;12;54.5;4;8.75;0;0.0;8.5
-;10;17.25;Aellen Florian;*;13;54.25;5;18.5;-5;1.25;8.75
+;13;26.0;Wenger Marcel (1999);*;24;35.25;10;26.75;-3;0.75;10.0
-;11;36.0;Kämpf Alexander;**;17;53.25;12;35.75;1;-0.25;8.75
+;15;44.75;Schenkel Remo;*;18;53.0;16;44.5;1;-0.25;10.0

11j;Schütz Urs;**;;;;;;;;;54.75
-;;;Brun Jonas;**;;;;;;;8.75
-;4;8.75;Fankhauser Marco;**;5;56.25;3;9.0;-1;0.25;8.75
+;9;17.5;Steiner Michael;**;27;34.5;9;17.5;0;0.0;10.0
-;7;27.5;Kuster Marcel;***;19;52.75;9;27.0;2;-0.5;8.75
-;10;36.25;Geisser Lars;**;11;54.75;10;36.25;0;0.0;8.75
+;14;45.0;Koch Thomas;*;15;53.75;13;45.25;-1;0.25;9.75

12a;Zimmermann Martin;**;;;;;;;;;54.5
-;;;Steiner Michael;**;;;;;;;8.75
+;4;8.75;Walther Marcel;*;22;44.0;5;8.5;1;-0.25;9.75
-;5;18.5;Ramseier Fritz;**;12;54.5;5;18.5;0;0.0;8.75
+;8;27.25;Krähenbühl Tobias;***;13;54.25;8;27.25;0;0.0;9.75
o;7;37.0;Wittwer Jan;*;11;54.75;10;36.25;3;-0.75;8.75
-;11;45.75;Kid Simon;**;12;54.5;11;45.75;0;0.0;8.75

