5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
o;;;Stoll Thomas;;;;;;;;8.5
+;6;8.5;Bapst Ludovic;;8;56.0;1;10.0;-5;1.5;10.0
o;5;18.5;Piemontesi Pascal;**;9;55.75;4;18.75;-1;0.25;8.5
-;10;27.0;Chofflon Anthony;;14;54.5;9;27.25;-1;0.25;8.75
+;14;35.75;Fankhauser Hans;*;20;52.75;14;35.75;0;0.0;9.75
+;13;45.5;Cochrane Benjamin;;16;54.0;13;45.5;0;0.0;10.0

10d;Kramer Dorian;**;;;;;;;;;55.5
-;;;Mollet Ivan;**;;;;;;;8.75
-;5;8.75;Ducry Antoine;**;8;56.0;5;8.75;0;0.0;8.75
+;8;17.5;Menoud Liam;;16;54.0;5;18.5;-3;1.0;10.0
+;8;27.5;Vonlanthen Alexandre;;15;54.25;9;27.25;1;-0.25;9.75
+;8;37.25;Dubey Gaël;*;15;54.25;9;37.0;1;-0.25;9.75
o;7;47.0;Duplan Steve;***;5;56.75;7;47.0;0;0.0;8.5

10e;Tschachtli Sven;**;;;;;;;;;55.5
-;;;Matthey Mickaël;**;;;;;;;9.0
o;4;9.0;Pürro David;;11;55.25;2;9.75;-2;0.75;8.5
+;8;17.5;Ganière William;;16;54.0;5;18.5;-3;1.0;9.75
o;9;27.25;Lagler Christian;*;9;55.75;9;27.25;0;0.0;8.5
+;14;35.75;Heiniger Mickaël;;16;54.0;14;35.75;0;0.0;10.0
+;12;45.75;Jeannin Jess;;13;54.75;10;46.25;-2;0.5;9.75

11a;Grossenbacher Marc;;;;;;;;;;55.25
-;;;Germanier Joel;;;;;;;;8.75
+;5;8.75;Rouge Dany;;19;53.25;4;9.0;-1;0.25;10.0
o;4;18.75;Emonet Frédéric;**;5;56.75;6;18.25;2;-0.5;8.5
o;9;27.25;Ducry Antoine;**;8;56.0;8;27.5;-1;0.25;8.5
