4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST

1a;Schmid Dominik;**;;;;;;;;;109.25
o;6;8.5;Dändliker Hansheinrich;;32;27.0;6;8.5;0;0.0;8.5
+;12;17.0;Plüer Dario (2005);;27;51.25;12;17.0;0;0.0;9.75
+;13;26.75;Frei Felix (2003);;21;53.5;13;26.75;0;0.0;10.0

31a;Zumbach Michael;;;;;;;;;;35.5
+;;;Bütler Roman (2004);;;;;;;;9.75
o;3;9.75;Lanter Christian;*;6;57.25;5;8.75;2;-1.0;8.5
o;8;18.25;Kühne Cyrill (2004);;14;55.25;8;18.25;0;0.0;8.5
o;13;26.75;Ulrich Pascal;;15;55.0;13;26.75;0;0.0;8.75

32a;Dändliker Hansheinrich;;;;;;;;;;27.0
o;;;Gemsch Stefan;;;;;;;;8.5
+;6;8.5;Inauen Maurus (2003);;30;36.75;6;8.5;0;0.0;10.0
o;7;18.5;Aebli Nino;*;18;54.25;12;17.0;5;-1.5;8.5

33a;Fejzaj Naim;**;;;;;;;;;26.75
o;;;Arztmann Beda;**;;;;;;;8.5
+;6;8.5;Affentranger Martin;;18;54.25;2;10.0;-4;1.5;9.75
o;8;18.25;Galli Cedric;;10;56.25;4;19.5;-4;1.25;8.5

34a;Wüthrich Hans;;;;;;;;;;18.25
+;;;Hänni Marc;;;;;;;;9.75
o;3;9.75;Burkhalter Thomas (2003);*;11;56.0;5;8.75;2;-1.0;8.5

