2856-2015-05-31_101_St_Galler_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.0
o;11;17.0;Oppliger Marco;;21;52.75;11;17.0;0;0.0;8.5
+;15;25.5;Stieger Daniel (1999);;26;34.0;15;25.5;0;0.0;10.0
o;14;35.5;Breitenmoser Manuel;;11;55.5;13;35.75;-1;0.25;8.5
o;19;44.0;Baumgartner Joël;;17;54.0;19;44.0;0;0.0;8.5

22c;Raymann Jan (1999);;;;;;;;;;52.5
-;;;Wildhaber Jannik (1999);;;;;;;;8.75
o;4;8.75;Mettler Florian (1997);;18;53.75;5;8.5;1;-0.25;8.5
o;10;17.25;Schuler Sandro (1999);;23;35.25;11;17.0;1;-0.25;8.5
+;14;25.75;Stüble Martin (1999);;26;34.0;15;25.5;1;-0.25;9.75
o;14;35.5;Baumgartner Alexander (1997);;12;55.25;13;35.75;-1;0.25;8.5
o;19;44.0;Beeler Matthias;;16;54.25;17;44.5;-2;0.5;8.5

22d;Thoma Nils (1999);;;;;;;;;;52.5
+;;;Mannhart Manuel (1999);;;;;;;;10.0
o;1;10.0;Schrepfer Chris;;11;55.5;4;8.75;3;-1.25;8.5
o;5;18.5;Gmür Pirmin;*;5;57.0;5;18.5;0;0.0;8.5
o;10;27.0;Pianta Christian (1997);;12;55.25;10;27.0;0;0.0;8.5
o;14;35.5;Winet Jonas (1999);;18;53.75;14;35.5;0;0.0;8.5
o;19;44.0;Nigg Jakob (1999);;18;53.75;19;44.0;0;0.0;8.5

22e;Mettler Tobias (1999);;;;;;;;;;52.5
-;;;Eisenring Daniel (1997);;;;;;;;8.75
o;4;8.75;Bleiker Roman;;13;55.0;5;8.5;1;-0.25;8.5
o;10;17.25;Dobler Mathias (1997);;17;54.0;10;17.25;0;0.0;8.5
+;14;25.75;Wildhaber Jannik (1999);;25;34.25;14;25.75;0;0.0;9.75
o;14;35.5;Schudel Simon;;12;55.25;14;35.5;0;0.0;8.5
o;19;44.0;Ott Matthias (1999);;17;54.0;19;44.0;0;0.0;8.5

23a;Ulmann Fabian (1999);;;;;;;;;;35.25
+;;;Stauffacher Martin (1998);;;;;;;;9.75
o;2;9.75;Vogel Beat;*;7;56.5;5;8.5;3;-1.25;8.5
o;6;18.25;Raymann David;;15;54.5;5;18.5;-1;0.25;8.5
o;11;26.75;Signer Patrick (1999);;18;53.75;11;26.75;0;0.0;8.5

23b;Schafflützel Patrick;;;;;;;;;;35.25
o;;;Truniger Manuel;;;;;;;;8.5
+;5;8.5;Mannhart Manuel (1999);;26;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Streuli Martin;*;9;56.0;9;17.5;3;-0.75;8.5
o;11;26.75;Meier Remo;**;14;54.75;13;26.0;2;-0.75;8.5

23c;Artho Roman (1998);;;;;;;;;;35.25
+;;;Heierli Pascal (1999);;;;;;;;9.75
o;2;9.75;Wild Stefan;;16;54.25;4;8.75;2;-1.0;8.5
o;6;18.25;Litscher Manuel;;7;56.5;6;18.25;0;0.0;8.5
o;11;26.75;Nigg Kaspar (1997);;18;53.75;11;26.75;0;0.0;8.5

23d;Hofstetter Beat (1997);;;;;;;;;;35.25
o;;;Egger Ralf (1998);;;;;;;;8.5
o;5;8.5;Raschle Adrian;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Stieger Daniel (1999);;26;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Scherrer Pascal;;17;54.0;11;26.75;0;0.0;8.5

23e;Schuler Sandro (1999);;;;;;;;;;35.25
o;;;Jud Andreas (1997);;;;;;;;8.5
o;5;8.5;Tremp Remo (1999);;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Raymann Jan (1999);;22;52.5;10;17.25;-1;0.25;9.75
o;11;26.75;Betschart Ueli;;18;53.75;11;26.75;0;0.0;8.5

23f;Sonderegger Damian (1997);;;;;;;;;;35.25
o;;;Städler Dario;;;;;;;;8.5
o;5;8.5;Horner Sämi;;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Wenger Dominic (1999);;26;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Schiesser Patrik (1998);;19;53.5;11;26.75;0;0.0;8.5

23g;Schegg Michael;;;;;;;;;;35.25
+;;;Tremp Remo (1999);;;;;;;;9.75
o;2;9.75;Rhyner Michael;**;4;57.25;4;8.75;2;-1.0;8.5
o;6;18.25;Breitenmoser Simon;;11;55.5;6;18.25;0;0.0;8.5
o;11;26.75;Schrepfer Chris;;11;55.5;9;27.25;-2;0.5;8.5

23h;Herrsche Lars (1998);;;;;;;;;;35.25
o;;;Roth Peter (1998);;;;;;;;8.5
+;5;8.5;Heierli Pascal (1999);;16;54.25;4;8.75;-1;0.25;9.75
o;6;18.25;Bommer Christoph (1997);;17;54.0;5;18.5;-1;0.25;8.5
o;11;26.75;Koch Thomas (1997);;12;55.25;11;26.75;0;0.0;8.5

23i;Roth Markus;;;;;;;;;;35.25
o;;;Schlegel Beni (1999);;;;;;;;8.5
o;5;8.5;Betschart Ueli;;18;53.75;2;9.75;-3;1.25;8.5
+;11;17.0;Bühlmann Joel (1998);;26;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Mettler Florian (1997);;18;53.75;11;26.75;0;0.0;8.5

24a;Schönenberger Björn;;;;;;;;;;34.75
-;;;Arnold Christian;;;;;;;;8.75
-;4;8.75;Schnyder Christian;;15;54.5;5;8.5;1;-0.25;8.75
o;9;17.5;Grenci Mauro (1999);;15;54.5;9;17.5;0;0.0;8.5
-;13;26.0;Zahner Stefan;;24;34.75;13;26.0;0;0.0;8.75

24b;Zahner Stefan;;;;;;;;;;34.75
-;;;Schiess Christian;;;;;;;;8.75
-;4;8.75;Beeler Matthias;;16;54.25;5;8.5;1;-0.25;8.75
o;9;17.5;Hersche Daniel;;10;55.75;9;17.5;0;0.0;8.5
-;13;26.0;Schönenberger Björn;;24;34.75;13;26.0;0;0.0;8.75

25a;Eisenring Daniel (1997);;;;;;;;;;34.25
-;;;Mettler Tobias (1999);;;;;;;;8.75
o;4;8.75;Büsser Remo;;19;53.5;4;8.75;0;0.0;8.5
o;10;17.25;Signer Patrick (1999);;18;53.75;11;17.0;1;-0.25;8.5
o;14;25.75;Mathis Patrick;;12;55.25;14;25.75;0;0.0;8.5

25b;Müller Loris (1999);;;;;;;;;;34.25
-;;;Bleiker Daniel;;;;;;;;8.75
o;4;8.75;Jecklin Alexsandro (1998);;17;54.0;4;8.75;0;0.0;8.5
o;10;17.25;Schnyder Christian;;15;54.5;10;17.25;0;0.0;8.5
o;14;25.75;Steiner Michael (1998);;18;53.75;11;26.75;-3;1.0;8.5

25c;Wildhaber Jannik (1999);;;;;;;;;;34.25
-;;;Raymann Jan (1999);;;;;;;;8.75
o;4;8.75;Stauffacher Martin (1998);;20;53.0;4;8.75;0;0.0;8.5
o;10;17.25;Bürgler Patrick;;16;54.25;10;17.25;0;0.0;8.5
o;14;25.75;Mettler Tobias (1999);;22;52.5;14;25.75;0;0.0;8.5

26a;Bühlmann Joel (1998);;;;;;;;;;34.0
o;;;Baumgartner Joël;;;;;;;;8.5
o;5;8.5;Nigg Jakob (1999);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Roth Markus;;23;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Winet Jonas (1999);;18;53.75;15;25.5;0;0.0;8.5

26b;Klee Sandro (1999);;;;;;;;;;34.0
o;;;Städler Lars;;;;;;;;8.5
o;5;8.5;Breitenmoser Manuel;;11;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Beeler Matthias;;16;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Heierli Pascal (1999);;16;54.25;14;25.75;-1;0.25;8.5

26c;Stüble Martin (1999);;;;;;;;;;34.0
o;;;Roth Michael (1999);;;;;;;;8.5
o;5;8.5;Riedi Thomas;;17;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Castelli Fabio (1999);;16;54.25;11;17.0;0;0.0;8.5
o;15;25.5;Raymann Jan (1999);;22;52.5;14;25.75;-1;0.25;8.5

26d;Mannhart Manuel (1999);;;;;;;;;;34.0
o;;;Thoma Nils (1999);;;;;;;;8.5
o;5;8.5;Schafflützel Patrick;;23;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Knöpfel Markus;;9;56.0;9;17.5;-2;0.5;8.5
o;15;25.5;Schmid Dominik (1998);;14;54.75;12;26.25;-3;0.75;8.5

26e;Oppliger Matthias (1999);;;;;;;;;;34.0
o;;;Haller Mathias (1999);;;;;;;;8.5
o;5;8.5;Schiesser Patrik (1998);;19;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Castelberg Andri;;17;54.0;11;17.0;0;0.0;8.5
o;15;25.5;Beeler Sepp;;21;52.75;14;25.75;-1;0.25;8.5

26f;Stieger Daniel (1999);;;;;;;;;;34.0
o;;;Baumann Simon;;;;;;;;8.5
o;5;8.5;Egger Matthias (1997);;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Hofstetter Beat (1997);;23;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Winet Mathias (1999);;22;52.5;15;25.5;0;0.0;8.5

26g;Wenger Dominic (1999);;;;;;;;;;34.0
o;;;Bommer Christoph (1997);;;;;;;;8.5
o;5;8.5;Nigg Kaspar (1997);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Sonderegger Damian (1997);;23;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Ott Matthias (1999);;17;54.0;15;25.5;0;0.0;8.5

27a;Glaus Martin;***;;;;;;;;;18.5
-;;;Kuster Marcel;**;;;;;;;8.75
+;4;8.75;Fejzaj Naim;*;12;55.25;1;10.0;-3;1.25;9.75

27b;Schlegel Beni (1999);;;;;;;;;;18.5
+;;;Roth Markus;;;;;;;;10.0
o;1;10.0;Fässler Patrick;;10;55.75;4;8.75;3;-1.25;8.5

28a;Rutz Kaspar;;;;;;;;;;18.25
+;;;Horner Sämi;;;;;;;;9.75
o;2;9.75;Vollenweider Jeremy (1998);*;14;54.75;5;8.5;3;-1.25;8.5

29a;Alder Armin;;;;;;;;;;8.75
-;;;Kammermann Dominik;;;;;;;;8.75

