5221-2022-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
o;12;26.75;Kuhn Roman;*;24;35.5;16;25.5;4;-1.25;8.5

25g;Keller Tami (2006);;;;;;;;;;35.25
o;;;Speck Beda (2006);;;;;;;;8.5
o;5;8.5;Käppeli Remo;;25;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Waldmeier Marco (2005);;18;54.0;11;17.0;0;0.0;8.5
+;16;25.5;Manser Maurin (2006);;28;34.0;16;25.5;0;0.0;9.75

26a;Stadelmann Lukas (2004);;;;;;;;;;34.5
o;;;Mösli Marcel;;;;;;;;8.5
o;5;8.5;Koster Patrick;;20;53.5;5;8.5;0;0.0;8.5
-;11;17.0;Fässler Michael;;16;54.5;10;17.25;-1;0.25;8.75
-;15;25.75;Schefer Sandro (2006);;27;34.25;16;25.5;1;-0.25;8.75

27a;Schefer Sandro (2006);;;;;;;;;;34.25
o;;;Schildknecht Jannic (2004);;;;;;;;8.5
o;5;8.5;Signer Patrick;;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Zehnder Josef;;25;35.25;11;17.0;0;0.0;8.5
-;16;25.5;Stadelmann Lukas (2004);;26;34.5;15;25.75;-1;0.25;8.75

27b;Bernhardsgrütter Stefan (2005);;;;;;;;;;34.25
o;;;Dobler Mathias;;;;;;;;8.5
o;5;8.5;Koch Sämi (2006);;19;53.75;5;8.5;0;0.0;8.75
o;10;17.25;Schoch Cornel;;19;53.75;7;18.25;-3;1.0;8.5
o;15;25.75;Rüger Damian;;18;54.0;16;25.5;1;-0.25;8.5

27c;Jäger Elia (2006);;;;;;;;;;34.25
o;;;Brülisauer Thomas;;;;;;;;8.5
o;5;8.5;Knellwolf Sebastian;;18;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Nef Tobias (2005);;20;53.5;10;17.25;-1;0.25;8.75
o;15;25.75;Schoch René;;22;52.75;15;25.75;0;0.0;8.5

28a;Zingg Elias (2006);;;;;;;;;;34.0
o;;;Keller Neel (2004);;;;;;;;8.5
o;5;8.5;Schläpfer Andrin;;20;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Widmer Ramon (2006);;25;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Tobler Marco;;18;54.0;16;25.5;0;0.0;8.5

28b;Gaccioli Benjamin;;;;;;;;;;34.0
o;;;Giger Lorenz;;;;;;;;8.5
o;5;8.5;Mösli Reto;;13;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Weder Yanick;;19;53.75;11;17.0;0;0.0;8.5
o;16;25.5;Bossert Alain;;22;52.75;14;26.0;-2;0.5;8.5

28c;Wenger Dominic;;;;;;;;;;34.0
o;;;Ackermann Roman;;;;;;;;8.5
o;5;8.5;Signer Sandro (2006);;18;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Tobler Tobias (2005);;21;53.0;11;17.0;0;0.0;8.5
o;16;25.5;Bleiker Andreas;;21;53.0;14;26.0;-2;0.5;8.5

28d;Manser Maurin (2006);;;;;;;;;;34.0
o;;;Meier Adrian (2005);;;;;;;;8.5
o;5;8.5;Ruppanner Philipp;;13;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Signer Felix (2006);;25;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Keller Tami (2006);;25;35.25;16;25.5;0;0.0;8.5

29a;Schönenberger Tobias (2004);*;;;;;;;;;18.5
+;;;Pianta Christian;*;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;1;58.75;4;8.75;3;-1.25;8.5

30a;Kühne Cyrill (2004);;;;;;;;;;18.25
+;;;Nef Tobias (2005);;;;;;;;9.75
o;2;9.75;Mannhart Jan;*;17;54.25;5;8.5;3;-1.25;8.5

31a;Marty Jaime;*;;;;;;;;;17.75
-;;;Kurmann Patrick;*;;;;;;;8.75
-;4;8.75;Müller Josias (2006);;15;54.75;1;10.0;-3;1.25;9.0

32a;Brügger Stefan;*;;;;;;;;;8.5
o;;;Neff Florian;*;;;;;;;8.5

