3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
+;;;Jacquaz Fabien (2006);;;;;;;;10.0
o;1;10.0;Loup Alexandre;*;18;54.0;5;8.5;4;-1.5;8.5
+;6;18.5;Burri Flemming;;19;53.75;6;18.5;0;0.0;9.75
o;5;28.25;Tornare Paul;*;12;55.5;10;27.0;5;-1.25;8.5
o;8;36.75;Collaud Bastien (2005);;12;55.5;7;37.0;-1;0.25;8.5
+;14;45.25;Zbinden Samuel;;19;53.75;14;45.25;0;0.0;9.75

14b;Schwab Livio (2005);;;;;;;;;;55.0
-;;;Elmiger Silvan (2004);;;;;;;;8.75
+;4;8.75;Lengen Michael (2005);;24;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Haenni Stéphane;**;5;57.25;5;18.75;-1;0.25;8.5
o;10;27.0;Erb Vincent;;13;55.25;10;27.0;0;0.0;8.5
+;13;35.5;Flury Maxime;;24;52.5;14;35.25;1;-0.25;9.75
+;14;45.25;Blanchard Benjamin;;19;53.75;14;45.25;0;0.0;9.75

14c;Dubey Gaël;*;;;;;;;;;55.0
o;;;Haenni Stéphane;**;;;;;;;8.5
+;5;8.5;Leuenberger Gian (2005);;29;26.75;2;9.75;-3;1.25;9.75
o;7;18.25;Colò Kilian;**;7;56.75;6;18.5;-1;0.25;8.5
+;11;26.75;Elmiger Elias;;15;54.75;6;28.0;-5;1.25;9.75
+;9;36.5;Vaucher Rémy;;20;53.5;9;36.5;0;0.0;10.0
o;9;46.5;Voggensperger Lars;**;7;56.75;7;47.0;-2;0.5;8.5

14d;Wieland Timon;;;;;;;;;;55.0
+;;;Erb Vincent;;;;;;;;10.0
o;1;10.0;Crettaz Olivier;*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Zbinden Silvan (2004);;13;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Wenger Marco;;18;54.0;10;27.0;0;0.0;9.75
+;8;36.75;Emonet Frédéric;**;13;55.25;8;36.75;0;0.0;9.75
o;9;46.5;Gottofrey Marc;**;7;56.75;7;47.0;-2;0.5;8.5

14e;Dändliker Shane;**;;;;;;;;;55.0
+;;;Colò Kilian;**;;;;;;;10.0
