4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
o;7;47.25;Erb Roger;**;9;56.25;11;46.25;4;-1.0;8.75

10c;Durrer Nando;;;;;;;;;;56.0
+;;;Schmid Pius;;;;;;;;10.0
o;1;10.0;Elmiger Andreas;;12;55.5;2;9.75;1;-0.25;8.75
-;5;18.75;Betschart Marcel;*;15;54.75;7;18.25;2;-0.5;8.75
+;8;27.5;Arnold Marcel;*;26;35.5;10;27.0;2;-0.5;9.75
+;8;37.25;Von Euw Adi;;18;54.0;9;37.0;1;-0.25;9.75
-;8;47.0;Wicki David;;11;55.75;9;46.75;1;-0.25;9.0

10d;Höfliger Andreas;**;;;;;;;;;56.0
-;;;Fankhauser Marco;**;;;;;;;8.75
+;4;8.75;Bättig Martin;*;16;54.5;4;8.75;0;0.0;10.0
-;5;18.75;Elmiger Andreas;;12;55.5;3;19.5;-2;0.75;8.75
+;8;27.5;Bachmann Adrian;;15;54.75;8;27.5;0;0.0;9.75
+;8;37.25;Murer Remo;*;18;54.0;10;36.75;2;-0.5;10.0
-;7;47.25;Ambühl Joel;*;10;56.0;7;47.25;0;0.0;8.75

10e;Würsch Lars;;;;;;;;;;56.0
+;;;Arnold Lukas;;;;;;;;10.0
+;1;10.0;Betschart Silvan;*;27;35.25;5;8.5;4;-1.5;10.0
o;1;20.0;Bieri Christian;**;11;55.75;6;18.5;5;-1.5;8.5
+;4;28.5;Wigger Simon;;17;54.25;4;28.5;0;0.0;10.0
o;3;38.5;Streiff Dominik;*;9;56.25;6;37.75;3;-0.75;8.5
-;8;47.0;Bucher Thomas;;10;56.0;8;47.0;0;0.0;9.0

10f;Bucher Thomas;;;;;;;;;;56.0
+;;;Gemsch Stefan;;;;;;;;9.75
-;2;9.75;Hess Dominik;*;13;55.25;4;8.75;2;-1.0;9.0
+;5;18.75;Odermatt Lars (2002);;21;53.0;6;18.5;1;-0.25;9.75
o;4;28.5;Muff André;*;10;56.0;8;27.5;4;-1.0;8.75
+;8;37.25;Gander Adrian;*;18;54.0;9;37.0;1;-0.25;9.75
-;8;47.0;Würsch Lars;;10;56.0;8;47.0;0;0.0;9.0

10g;Ambühl Joel;*;;;;;;;;;56.0
-;;;Gwerder Carlo;**;;;;;;;8.75
+;4;8.75;Odermatt Sepp;;11;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Bucher André (2001);;13;55.25;3;19.5;-2;0.75;10.0
o;3;28.75;von Ah Benji;***;6;57.0;5;28.25;2;-0.5;8.5
+;8;37.25;Zimmermann Reto;;12;55.5;9;37.0;1;-0.25;10.0
-;7;47.25;Höfliger Andreas;**;10;56.0;7;47.25;0;0.0;8.75

10h;Arnold Lukas;;;;;;;;;;56.0
o;;;Würsch Lars;;;;;;;;8.5
+;5;8.5;Elmiger Matthias;;16;54.5;5;8.5;0;0.0;10.0
+;6;18.5;Betschart Silvan;*;27;35.25;11;17.0;5;-1.5;9.75
+;5;28.25;Hess Michael;*;15;54.75;4;28.5;-1;0.25;10.0
-;4;38.25;Wetzstein Adrian;;8;56.5;5;38.0;1;-0.25;8.75
-;8;47.0;Baumann Lukas;;14;55.0;12;46.0;4;-1.0;9.0

11a;Schuler Alex;;;;;;;;;;55.75
+;;;Schmid Joel;;;;;;;;10.0
+;1;10.0;Hermann Lukas 1 (2000);;31;26.75;2;9.75;1;-0.25;10.0
o;1;20.0;Betschart Remo;**;24;46.5;6;18.5;5;-1.5;8.5
o;4;28.5;Bucher Christian;*;25;46.25;4;28.5;0;0.0;8.5
+;9;37.0;Zemp Thomas;*;23;47.25;8;37.25;-1;0.25;10.0
o;8;47.0;Durrer Fabian;;23;47.25;7;47.25;-1;0.25;8.75

11b;Odermatt Sepp;;;;;;;;;;55.75
+;;;Thalmann Adrian;;;;;;;;10.0
o;1;10.0;Ambühl Joel;*;10;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Achermann Christoph;*;13;55.25;11;17.0;5;-1.5;8.5
-;10;27.0;Hurschler Michael;;15;54.75;9;27.25;-1;0.25;9.0
+;13;36.0;Fischlin Matthias (2002);;22;52.75;14;35.75;1;-0.25;10.0
+;12;46.0;Hess Michael;*;15;54.75;12;46.0;0;0.0;9.75

11c;Niederberger Markus;*;;;;;;;;;55.75
+;;;Weiss Roman;*;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;2;58.5;4;8.75;3;-1.25;8.5
+;6;18.5;Troxler Jonas (2000);;16;54.5;2;19.75;-4;1.25;9.75
+;5;28.25;Betschart Patrick;*;12;55.5;5;28.25;0;0.0;10.0
-;4;38.25;Stucki Christian;;8;56.5;5;38.0;1;-0.25;8.75
o;8;47.0;Wetzstein Adrian;;8;56.5;9;46.75;1;-0.25;8.75

11d;Bieri Christian;**;;;;;;;;;55.75
-;;;Kennel Beat;*;;;;;;;8.75
+;4;8.75;Bürgi Reto;*;13;55.25;5;8.5;1;-0.25;9.75
+;6;18.5;Würsch Lars;;10;56.0;1;20.0;-5;1.5;9.75
-;5;28.25;Suppiger Werner;**;8;56.5;5;28.25;0;0.0;8.75
-;9;37.0;Gerber Peter;*;12;55.5;9;37.0;0;0.0;8.75
+;13;45.75;Troxler Jonas (2000);;16;54.5;13;45.75;0;0.0;10.0

11e;Waser Raphael;;;;;;;;;;55.75
+;;;Dittli Mathias (2002);;;;;;;;9.75
-;2;9.75;Supper Frederik;;16;54.5;2;9.75;0;0.0;8.75
+;6;18.5;Hürlimann Marco (2002);;19;53.75;7;18.25;1;-0.25;10.0
o;4;28.5;Stucki Christian;;8;56.5;5;28.25;1;-0.25;8.5
+;9;37.0;Kammermann Christoph;*;16;54.5;13;36.0;4;-1.0;10.0
o;8;47.0;Betschart Remo;**;24;46.5;10;46.5;2;-0.5;8.75

11f;Wicki David;;;;;;;;;;55.75
-;;;Ettlin Michael;;;;;;;;8.75
+;4;8.75;Durrer Lukas;;13;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Weiss Roman;*;17;54.25;11;17.0;6;-1.75;9.75
o;4;28.5;Kenel Franz-Toni;*;16;54.5;8;27.5;4;-1.0;8.5
+;9;37.0;Hurschler Michael;;15;54.75;12;36.25;3;-0.75;9.75
-;9;46.75;Durrer Nando;;10;56.0;8;47.0;-1;0.25;9.0

12a;Bühler Kilian (2000);;;;;;;;;;55.5
+;;;Baumann Reto;;;;;;;;9.75
o;2;9.75;Hürlimann Ueli (2001);;19;53.75;2;9.75;0;0.0;8.5
+;7;18.25;Risi Janik (2000);;26;35.5;7;18.25;0;0.0;10.0
o;5;28.25;Zemp Thomas;*;23;47.25;9;27.25;4;-1.0;8.75
+;9;37.0;Staub Devin;;16;54.5;14;35.75;5;-1.25;10.0
o;8;47.0;Inderbitzin Daniel;*;7;56.75;9;46.75;1;-0.25;8.5

12b;Lagler Christian;;;;;;;;;;55.5
+;;;Zimmermann Reto;;;;;;;;10.0
o;1;10.0;Brand Christian;**;16;54.5;5;8.5;4;-1.5;8.5
+;6;18.5;Kathriner Severin (2000);;26;35.5;6;18.5;0;0.0;10.0
o;4;28.5;Bucher Roland;*;12;55.5;8;27.5;4;-1.0;8.5
+;9;37.0;Baumann Lukas;;14;55.0;8;37.25;-1;0.25;10.0
o;8;47.0;Stucki Christian;;8;56.5;9;46.75;1;-0.25;8.5

12c;Elmiger Andreas;;;;;;;;;;55.5
+;;;Von Euw Adi;;;;;;;;9.75
+;2;9.75;Durrer Nando;;10;56.0;1;10.0;-1;0.25;9.75
-;3;19.5;Höfliger Andreas;**;10;56.0;5;18.75;2;-0.75;8.75
o;5;28.25;Wetzstein Adrian;;8;56.5;5;28.25;0;0.0;8.5
-;10;36.75;Brand Christian;**;16;54.5;14;35.75;4;-1.0;8.75
+;14;45.5;Betschart Michael;;18;54.0;14;45.5;0;0.0;10.0

12d;Zurfluh Roman;**;;;;;;;;;55.5
-;;;Murer Andy;**;;;;;;;8.75
+;4;8.75;Vonlaufen Lukas;*;16;54.5;4;8.75;0;0.0;9.75
-;6;18.5;Hürlimann Mathias (2000);;14;55.0;4;19.0;-2;0.5;9.0
+;8;27.5;Birchler Fabian (2000);;16;54.5;9;27.25;1;-0.25;10.0
-;7;37.5;Elsener Marcel;;8;56.5;3;38.5;-4;1.0;9.0
-;10;46.5;Langenstein Philip;**;13;55.25;11;46.25;1;-0.25;9.0

12e;Gerber Peter;*;;;;;;;;;55.5
o;;;Hess Michael;*;;;;;;;8.5
o;5;8.5;Arnold Andreas;*;9;56.25;5;8.5;0;0.0;8.5
+;11;17.0;Zimmermann Reto;;12;55.5;6;18.5;-5;1.5;10.0
+;10;27.0;Kathriner Severin (2000);;26;35.5;10;27.0;0;0.0;10.0
