5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
13d;Dubey Gaël;*;;;;;;;;;55.0
-;;;Pürro David;*;;;;;;;8.75
+;3;8.75;Raboud Mathieu;;18;53.75;1;10.0;-2;1.25;9.75
+;5;18.5;Perroud Florian;;19;53.5;6;18.25;1;-0.25;10.0
o;5;28.5;Gottofrey Marc;**;9;56.0;5;28.5;0;0.0;8.5
-;10;37.0;Neyroud Geoffrey;;15;54.5;10;37.0;0;0.0;9.0
-;11;46.0;Perret Loïc;;11;55.5;9;46.5;-2;0.5;9.0

13e;Wieland Timon;;;;;;;;;;55.0
o;;;Maridor Loic;;;;;;;;8.5
+;4;8.5;Dupertuis Guillaume;;18;53.75;4;8.5;0;0.0;9.75
o;6;18.25;Barras François;*;12;55.25;6;18.25;0;0.0;8.5
+;11;26.75;Wenger Marco;;18;53.75;11;26.75;0;0.0;9.75
o;12;36.5;Colò Kilian;**;7;56.75;11;36.75;-1;0.25;8.5
+;15;45.0;Suchet Jonathan (2005);;17;54.0;13;45.5;-2;0.5;10.0

13f;Leuenberger Gian (2005);;;;;;;;;;55.0
+;;;Lopes Semedo Mauro;;;;;;;;10.0
+;1;10.0;Wenger Marco;;18;53.75;2;9.75;1;-0.25;9.75
