3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
-;3;10.0;Brun Jonas;**;7;57.0;3;10.0;0;0.0;8.75
+;7;18.75;Müller Toni;*;18;54.25;7;18.75;0;0.0;10.0
o;6;28.75;Schurtenberger Sven;**;4;58.5;6;28.75;0;0.0;8.5
-;10;37.25;Borcard Johann;**;14;55.25;8;38.0;-2;0.75;8.75
+;13;46.0;Britschgi Melk;**;17;54.5;13;46.0;0;0.0;9.75

12d;Egli Pirmin;**;;;;;;;;;55.75
o;;;Hurschler Thomas;**;;;;;;;8.5
+;7;8.5;Käslin Ruedi;*;38;34.5;7;8.5;0;0.0;10.0
+;8;18.5;Murer Andy;*;17;54.5;8;18.5;0;0.0;9.75
-;8;28.25;Zemp Thomas;*;15;55.0;7;28.5;-1;0.25;9.0
-;10;37.25;Schmid Köbi;;18;54.25;11;37.0;1;-0.25;8.75
+;13;46.0;Waser Reto;*;16;54.75;13;46.0;0;0.0;9.75

12e;Scheidegger Philipp;**;;;;;;;;;55.75
-;;;Bieri Marcel;**;;;;;;;8.75
-;6;8.75;Hösli Fritz;*;14;55.25;7;8.5;1;-0.25;8.75
+;11;17.5;Kenel Franz-Toni;*;37;34.75;11;17.5;0;0.0;9.75
+;12;27.25;Herger Fabian;*;35;35.25;14;26.75;2;-0.5;9.75
+;11;37.0;Schürpf Bruno;;13;55.5;11;37.0;0;0.0;9.75
-;10;46.75;Gerber Christian;**;13;55.5;11;46.5;1;-0.25;9.0

12f;Odermatt Andreas;*;;;;;;;;;55.75
-;;;Zimmermann Martin;*;;;;;;;8.75
-;6;8.75;Kennel Beat;*;17;54.5;6;8.75;0;0.0;8.75
+;11;17.5;Schnider Markus;*;22;53.25;11;17.5;0;0.0;9.75
+;12;27.25;Felder Martin;;19;54.0;13;27.0;1;-0.25;10.0
o;10;37.25;Fankhauser Reto;**;11;56.0;9;37.5;-1;0.25;8.5
+;14;45.75;Ulrich Marco;;17;54.5;13;46.0;-1;0.25;10.0

12g;Felder Seppi;*;;;;;;;;;55.75
+;;;Kessler Joel;*;;;;;;;9.75
o;4;9.75;Schelbert Ralf;**;7;57.0;4;9.75;0;0.0;8.5
-;9;18.25;Schürpf Guido;;20;53.75;7;18.75;-2;0.5;9.0
o;12;27.25;Schuler Philipp;**;11;56.0;11;27.5;-1;0.25;8.5
+;16;35.75;Gwerder Dominik;;25;52.5;17;35.5;1;-0.25;10.0
