5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
o;2;19.75;Kindlimann Fabian;***;7;56.0;4;18.75;2;-1.0;8.5
o;5;28.25;Gosswiler Livio;*;4;56.75;4;28.5;-1;0.25;8.5
+;8;36.75;Schnyder Christian;;15;54.0;7;37.0;-1;0.25;10.0
o;6;46.75;Schmid Dominik;**;3;57.0;5;47.0;-1;0.25;8.75

9d;Leuppi Karim;*;;;;;;;;;55.5
o;;;Biäsch Christian;*;;;;;;;8.5
o;5;8.5;Castelli Fabio;;2;57.25;1;10.0;-4;1.5;8.5
+;9;17.0;Mayer Elia (2004);;14;54.25;6;18.25;-3;1.25;9.75
-;10;26.75;Flütsch Marco;;10;55.25;6;28.0;-4;1.25;8.75
+;12;35.5;Bernhard Thomas;;16;53.75;8;36.75;-4;1.25;10.0
+;11;45.5;Büchler Livio;;16;53.75;12;45.25;1;-0.25;10.0

9e;Hänni Marc;;;;;;;;;;55.5
+;;;Schiess Christian;;;;;;;;10.0
o;1;10.0;Bollhalder Manuel;*;6;56.25;3;9.0;2;-1.0;8.5
o;5;18.5;Gosswiler Livio;*;4;56.75;5;18.5;0;0.0;8.5
o;9;27.0;Wehrli Jan;;11;55.0;8;27.25;-1;0.25;8.5
+;12;35.5;Lacher Tobias (2005);;16;53.75;12;35.5;0;0.0;10.0
+;11;45.5;Laager Kaspar (2004);;15;54.0;11;45.5;0;0.0;10.0

9f;Battaglia Ursin;**;;;;;;;;;55.5
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Aeschlimann Martin;;7;56.0;1;10.0;-3;1.25;9.75
o;5;18.5;Kobler Janosch;;7;56.0;3;19.0;-2;0.5;8.5
+;9;27.0;Horner Sämi;;10;55.25;6;28.0;-3;1.0;10.0
+;7;37.0;Sieber Marc;;15;54.0;7;37.0;0;0.0;10.0
o;5;47.0;Riget Tobias;**;4;56.75;5;47.0;0;0.0;8.5

9g;Inauen Maurus (2003);;;;;;;;;;55.5
+;;;Keller Cedric;;;;;;;;10.0
o;1;10.0;Good Marco;*;5;56.5;4;8.75;3;-1.25;8.5
+;5;18.5;Wehrli Jan;;11;55.0;4;18.75;-1;0.25;10.0
o;4;28.5;Landolt Reto;*;3;57.0;5;28.25;1;-0.25;8.5
o;7;37.0;Bernold Edi;**;9;55.5;7;37.0;0;0.0;8.5
+;11;45.5;Mathis Patrick;;14;54.25;10;45.75;-1;0.25;10.0

9h;Hobi Ignaz;;;;;;;;;;55.5
+;;;Inauen Aurel;;;;;;;;9.75
o;2;9.75;Lehmann Philipp;*;8;55.75;5;8.5;3;-1.25;8.75
o;5;18.5;Schmid Patrick;*;7;56.0;5;18.5;0;0.0;8.75
+;8;27.25;Langenegger Beat;;15;54.0;9;27.0;1;-0.25;9.75
+;7;37.0;Fässler Tobias;;9;55.5;7;37.0;0;0.0;10.0
o;5;47.0;Vollenweider Jeremy;**;4;56.75;5;47.0;0;0.0;8.5

9i;Fässler Tobias;;;;;;;;;;55.5
+;;;Nef Tobias (2005);;;;;;;;9.75
o;2;9.75;Rotach Lars;*;6;56.25;5;8.5;3;-1.25;8.5
-;6;18.25;Krucker Silvan;;15;54.0;6;18.25;0;0.0;8.75
+;9;27.0;Diem Hansruedi;;15;54.0;8;27.25;-1;0.25;10.0
o;7;37.0;Hobi Ignaz;;9;55.5;7;37.0;0;0.0;8.5
+;11;45.5;Baumann Reto;;15;54.0;11;45.5;0;0.0;10.0

10a;Flütsch Marco;;;;;;;;;;55.25
+;;;Baumann Reto;;;;;;;;9.75
o;2;9.75;Schuler Martin;*;12;54.75;4;8.75;2;-1.0;8.5
+;6;18.25;Hangartner Maurice (2003);;10;55.25;6;18.25;0;0.0;9.75
-;6;28.0;Leuppi Karim;*;9;55.5;10;26.75;4;-1.25;8.75
+;8;36.75;Bleiker Daniel;;16;53.75;8;36.75;0;0.0;10.0
o;6;46.75;Good Marco;*;5;56.5;6;46.75;0;0.0;8.5

10b;Herger Fabian;*;;;;;;;;;55.25
o;;;Landolt Reto;*;;;;;;;8.5
+;5;8.5;Gantenbein Linard (2004);;10;55.25;1;10.0;-4;1.5;9.75
+;6;18.25;Feldmann Patrik (2005);;12;54.75;3;19.0;-3;0.75;9.75
-;6;28.0;Flück Bruno;;12;54.75;4;28.5;-2;0.5;8.75
o;8;36.75;Rotach Lars;*;6;56.25;4;37.75;-4;1.0;8.5
+;12;45.25;Mayer Elia (2004);;14;54.25;10;45.75;-2;0.5;10.0

10c;Hangartner Maurice (2003);;;;;;;;;;55.25
o;;;Sprecher Martin;;;;;;;;8.5
+;5;8.5;Bebi Nic (2003);;21;52.25;5;8.5;0;0.0;9.75
o;6;18.25;Flütsch Marco;;10;55.25;6;18.25;0;0.0;8.5
+;10;26.75;Schoch René;;17;53.5;10;26.75;0;0.0;10.0
o;8;36.75;Gantenbein Linard (2004);;10;55.25;8;36.75;0;0.0;8.75
+;11;45.5;Bernhard Thomas;;16;53.75;12;45.25;1;-0.25;9.75

10d;Keller Cedric;;;;;;;;;;55.25
o;;;Inauen Maurus (2003);;;;;;;;8.5
+;5;8.5;Buchli Michael (2004);;8;55.75;5;8.5;0;0.0;9.75
+;6;18.25;Nogler Livio;;19;52.75;5;18.5;-1;0.25;10.0
+;5;28.25;Fontana Michael;*;13;54.5;8;27.25;3;-1.0;10.0
o;2;38.25;Schmid Dominik;**;3;57.0;6;37.25;4;-1.0;8.5
o;6;46.75;Aebli Nino;;5;56.5;6;46.75;0;0.0;8.5

10e;Horner Sämi;;;;;;;;;;55.25
o;;;Aeschlimann Martin;;;;;;;;8.5
+;5;8.5;Baumgartner Joël;;19;52.75;5;8.5;0;0.0;9.75
+;6;18.25;Wittenwiler Mathias (2003);;15;54.0;6;18.25;0;0.0;9.75
o;6;28.0;Battaglia Ursin;**;9;55.5;9;27.0;3;-1.0;8.5
+;9;36.5;Brand Andreas (2003);;12;54.75;9;36.5;0;0.0;10.0
o;7;46.5;Castelli Fabio;;2;57.25;4;47.25;-3;0.75;8.75

10f;Schiesser Patrik;*;;;;;;;;;55.25
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Krucker Silvan;;15;54.0;2;9.75;-3;1.25;9.75
+;6;18.25;Schlegel Jamie (2004);;12;54.75;4;18.75;-2;0.5;9.75
o;6;28.0;Blaser Christian;**;5;56.5;6;28.0;0;0.0;8.5
+;9;36.5;Schmidlin Tobias;*;13;54.5;10;36.0;1;-0.5;10.0
o;7;46.5;Joos Enrico (2003);;5;56.5;7;46.5;0;0.0;8.75

10g;Gantenbein Linard (2004);;;;;;;;;;55.25
+;;;Schoch René;;;;;;;;10.0
o;1;10.0;Herger Fabian;*;10;55.25;5;8.5;4;-1.5;8.5
+;5;18.5;Abderhalden Lukas (2003);;16;53.75;6;18.25;1;-0.25;9.75
o;5;28.25;Schuler Martin;*;12;54.75;8;27.25;3;-1.0;8.5
+;8;36.75;Hangartner Maurice (2003);;10;55.25;8;36.75;0;0.0;10.0
o;6;46.75;Schlegel Reto;*;5;56.5;7;46.5;1;-0.25;8.5

10h;Inauen Aurel;;;;;;;;;;55.25
o;;;Hobi Ignaz;;;;;;;;8.5
o;5;8.5;Forrer Marco (2003);;18;53.0;3;9.0;-2;0.5;8.5
o;9;17.0;Ziegler Andreas;;9;55.5;8;17.25;-1;0.25;8.5
+;13;25.5;Nogler David;;21;52.25;13;25.5;0;0.0;10.0
+;12;35.5;Krucker Silvan;;15;54.0;11;35.75;-1;0.25;9.75
+;12;45.25;Sieber Marc;;15;54.0;11;45.5;-1;0.25;10.0

10i;Tschudi Mario;;;;;;;;;;55.25
+;;;Nogler Livio;;;;;;;;9.75
o;2;9.75;Poltera Andrin;*;8;55.75;5;8.5;3;-1.25;8.5
+;6;18.25;Schoch René;;17;53.5;6;18.25;0;0.0;10.0
o;5;28.25;Habegger Heinz;**;4;56.75;5;28.25;0;0.0;8.5
+;8;36.75;Gasenzer Christian (2004);;15;54.0;8;36.75;0;0.0;9.75
o;7;46.5;Gosswiler Livio;*;4;56.75;6;46.75;-1;0.25;8.75

11a;Ackermann Rico (2003);*;;;;;;;;;55.0
o;;;Gosswiler Livio;*;;;;;;;8.5
+;5;8.5;Brand Andreas (2003);;12;54.75;2;9.75;-3;1.25;10.0
+;5;18.5;Joos Enrico (2003);;5;56.5;4;18.75;-1;0.25;9.75
+;5;28.25;Jörger Corsin;*;6;56.25;4;28.5;-1;0.25;9.75
o;3;38.0;Riget Tobias;**;4;56.75;7;37.0;4;-1.0;8.5
o;7;46.5;Habegger Heinz;**;4;56.75;6;46.75;-1;0.25;8.5

11b;Wehrli Jan;;;;;;;;;;55.0
+;;;Büchler Livio;;;;;;;;10.0
o;1;10.0;Schlegel Reto;*;5;56.5;4;8.75;3;-1.25;8.75
