2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
+;9;37.0;Harder Benj;;11;55.5;10;36.75;1;-0.25;10.0
o;8;47.0;Nägeli Marco;*;4;57.25;7;47.25;-1;0.25;8.5

11e;Bickel Stefan;*;;;;;;;;;55.5
o;;;Vestner Roman;*;;;;;;;8.5
+;5;8.5;Berger Roman;;16;54.25;2;9.75;-3;1.25;9.75
-;7;18.25;Ott Dominik;;14;54.75;3;19.5;-4;1.25;9.0
+;9;27.25;Ruof Christof;;16;54.25;5;28.5;-4;1.25;9.75
o;9;37.0;Bleiker Reto;*;11;55.5;9;37.0;0;0.0;8.5
+;14;45.5;Schnyder Christian;;16;54.25;13;45.75;-1;0.25;10.0

11f;Harder Benj;;;;;;;;;;55.5
+;;;Ott Matthias (1999);;;;;;;;10.0
o;1;10.0;Ott Dominik;;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Kindlimann Fabian;***;3;57.5;5;18.75;-1;0.25;8.5
+;10;27.0;Schmid Dominik (1998);;25;35.5;10;27.0;0;0.0;9.75
