4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;;;Odermatt Andreas;*;;;;;;;8.5
+;6;8.5;Reichmuth Roland;*;17;54.5;5;8.75;-1;0.25;10.0
o;7;18.5;Ettlin Stefan;**;9;56.5;7;18.5;0;0.0;8.5
+;12;27.0;Moos Christoph;*;28;35.5;12;27.0;0;0.0;10.0
+;10;37.0;Waser Christoph (2002);;19;54.0;10;37.0;0;0.0;10.0
o;8;47.0;Bernhard Lukas;*;7;57.0;7;47.25;-1;0.25;8.5

13c;Piemontesi Pascal;**;;;;;;;;;55.5
o;;;Müllestein Mike;***;;;;;;;8.5
+;6;8.5;Arnold Fabian;*;18;54.25;5;8.75;-1;0.25;10.0
-;7;18.5;Huber Alex;*;14;55.25;4;19.5;-3;1.0;8.75
-;11;27.25;Steinauer Adrian;**;10;56.25;8;28.0;-3;0.75;8.75
+;14;36.0;Bättig Martin;*;18;54.25;15;35.75;1;-0.25;9.75
+;13;45.75;Streiff Dominik;*;18;54.25;13;45.75;0;0.0;9.75

13d;Bürli Roger;**;;;;;;;;;55.5
+;;;Rohrer Marco;**;;;;;;;9.75
o;3;9.75;von Ah Benji;***;7;57.0;2;10.0;-1;0.25;8.5
+;8;18.25;Moos Christoph;*;28;35.5;7;18.5;-1;0.25;9.75
-;8;28.0;Höﬂiger Andreas;**;13;55.5;7;28.25;-1;0.25;8.75
-;11;36.75;Arnold Stefan;**;11;56.0;10;37.0;-1;0.25;8.75
+;14;45.5;Barmettler Peter;*;18;54.25;13;45.75;-1;0.25;10.0

13e;Achermann Christoph;*;;;;;;;;;55.5
o;;;Huber Alex;*;;;;;;;8.5
+;6;8.5;Amgarten Martin;*;28;35.5;5;8.75;-1;0.25;10.0
o;7;18.5;Schuler Alex;***;16;54.75;10;17.5;3;-1.0;8.75
+;11;27.25;Eﬃnger Peter;;20;53.5;8;28.0;-3;0.75;10.0
