3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
o;7;46.5;Dousse Michel;**;7;56.75;6;46.75;-1;0.25;8.5

14e;Taillard Virgile;;;;;;;;;;55.0
+;;;Fankhauser Hans (2001);;;;;;;;9.75
o;2;9.75;Berset Julien;*;11;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Derron Julien;;9;56.25;7;18.25;0;0.0;8.5
+;10;26.75;Rappo Yann;;18;54.0;8;27.25;-2;0.5;9.75
-;10;36.5;Monney Branighan;;17;54.25;9;36.75;-1;0.25;8.75
+;12;45.25;Cottier Marco (2000);;20;53.5;13;45.0;1;-0.25;9.75

14f;Emonet Frédéric;*;;;;;;;;;55.0
o;;;Brodard Augustin;**;;;;;;;8.5
+;5;8.5;Wieland Janis;;9;56.25;1;10.0;-4;1.5;9.75
o;7;18.25;Moser Steven;**;1;58.75;5;18.75;-2;0.5;8.5
