3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

+;5;18.75;Gubler Daniel;;10;55.25;2;19.75;-3;1.0;9.75
o;6;28.5;Burkhalter Stefan;***;2;57.5;5;28.75;-1;0.25;8.5
+;8;37.0;Buchmann Michael;;15;54.0;8;37.0;0;0.0;9.75
o;7;46.75;Kaech Frank;;4;56.75;6;47.0;-1;0.25;8.5

10g;Hersche Daniel;;;;;;;;;;55.25
+;;;Wirth Bruno;;;;;;;;10.0
o;1;10.0;Knechtle Martin;**;3;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Nägeli Marco;*;11;55.0;7;18.25;1;-0.25;8.5
o;12;27.0;Gwerder Andreas;**;7;56.0;11;27.25;-1;0.25;8.75
+;13;35.75;Hobi Ignaz;;16;53.75;14;35.5;1;-0.25;9.75
+;12;45.5;Arnold Christian;;16;53.75;13;45.25;1;-0.25;9.75

10h;Schmuki Michael;;;;;;;;;;55.25
o;;;Ritzmann Bernhard;;;;;;;;8.5
o;5;8.5;Gundolf Samuel;;15;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Bosshard Lukas;;25;34.25;11;17.0;0;0.0;10.0
o;12;27.0;Ammann Rico;*;14;54.25;14;26.0;2;-1.0;8.5
+;14;35.5;Schiesser Patrik (1998);;21;52.5;14;35.5;0;0.0;10.0
+;12;45.5;Notz Hans;*;16;53.75;13;45.25;1;-0.25;9.75

10i;Fausch Kjetil;;;;;;;;;;55.25
+;;;Junker Nik;;;;;;;;10.0
-;1;10.0;Vollenweider Jeremy (1998);*;8;55.75;2;9.75;1;-0.25;8.75
o;5;18.75;Inauen Franz;*;3;57.0;6;18.5;1;-0.25;8.5
o;11;27.25;Odermatt Christoph;*;10;55.25;12;27.0;1;-0.25;8.5
+;13;35.75;Koller Fabian;;16;53.75;14;35.5;1;-0.25;9.75
+;12;45.5;Gundolf Samuel;;15;54.0;12;45.5;0;0.0;9.75

11a;Bickel Stefan;*;;;;;;;;;55.0
-;;;Streuli Martin;*;;;;;;;8.75
o;4;8.75;Alder Armin;;15;54.0;2;9.75;-2;1.0;8.5
+;10;17.25;Inauen Aurel;;19;53.0;9;17.5;-1;0.25;9.75
+;12;27.0;Bleiker Reto;*;15;54.0;12;27.0;0;0.0;9.75
+;9;36.75;Notz Hans;*;16;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Straub Robin;*;5;56.5;7;46.75;-1;0.25;8.5

11b;Roth Martin;*;;;;;;;;;55.0
-;;;Riget Ivan;*;;;;;;;9.0
o;3;9.0;Holenstein Christian;*;9;55.5;2;9.75;-1;0.75;8.5
+;9;17.5;Breitenmoser Manuel;;18;53.25;6;18.5;-3;1.0;10.0
o;10;27.5;Leuppi Samir;**;3;57.0;10;27.5;0;0.0;8.5
+;12;36.0;Rutz Kaspar;;14;54.25;12;36.0;0;0.0;10.0
-;10;46.0;Vestner Roman;*;11;55.0;9;46.25;-1;0.25;9.0

11c;Braun Mathias;;;;;;;;;;55.0
