3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;4;8.75;Zgraggen Fabian;*;11;55.5;1;10.0;-3;1.25;9.75
o;6;18.5;Stadelmann Ron;;7;56.5;2;19.75;-4;1.25;8.75
+;9;27.25;Schaller Noah (2000);;14;54.75;8;27.5;-1;0.25;9.75
+;9;37.0;Fellmann Roman;*;17;54.0;9;37.0;0;0.0;9.75
+;7;46.75;Scherer Niklaus;;11;55.5;6;47.0;-1;0.25;9.75

8a;Zimmermann Martin;**;;;;;;;;;56.25
-;;;Egli Pirmin;**;;;;;;;8.75
+;4;8.75;Portmann Daniel;;17;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Fässler Dominic;*;14;54.75;4;19.0;-1;0.25;9.75
-;4;28.5;Thierstein Marco;;8;56.25;2;29.0;-2;0.5;9.0
-;7;37.5;Zurfluh Roman;*;7;56.5;6;37.75;-1;0.25;9.0
+;8;46.5;Stadelmann Simon;*;15;54.5;10;46.0;2;-0.5;9.75

8b;Dissler Philipp;;;;;;;;;;56.25
+;;;Hunkeler Joel (2001);;;;;;;;10.0
o;1;10.0;Kennel Stefan;**;9;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;von Deschwanden Patrick;;17;54.0;6;18.5;0;0.0;10.0
-;4;28.5;Kälin Roland;**;9;56.0;6;28.0;2;-0.5;9.0
-;7;37.5;Ettlin Stefan;*;13;55.0;7;37.5;0;0.0;8.75
+;9;46.25;Thalmann Adrian (1999);;13;55.0;8;46.5;-1;0.25;10.0

8c;Vogel Remo;**;;;;;;;;;56.25
-;;;Arnold Raphael;*;;;;;;;9.0
o;3;9.0;Gwerder Andreas;*;25;35.5;2;9.75;-1;0.75;8.75
+;8;17.75;Kammermann Dominik;;16;54.25;6;18.5;-2;0.75;9.75
+;8;27.5;Eiholzer Roy;;12;55.25;5;28.25;-3;0.75;10.0
-;7;37.5;Imhof Andi;***;7;56.5;7;37.5;0;0.0;8.75
+;9;46.25;Heiniger Luca;;12;55.25;8;46.5;-1;0.25;10.0

8d;Thierstein Marco;;;;;;;;;;56.25
+;;;Fallegger Franco (1999);;;;;;;;10.0
+;1;10.0;Erni Mathias;;18;53.75;2;9.75;1;-0.25;10.0
-;1;20.0;Zurfluh Roman;*;7;56.5;5;18.75;4;-1.25;9.0
-;2;29.0;Zimmermann Martin;**;8;56.25;4;28.5;2;-0.5;9.0
o;5;38.0;Blaser Theo;*;6;56.75;8;37.25;3;-0.75;8.5
+;8;46.5;Fallegger Joel;;14;54.75;9;46.25;1;-0.25;9.75

8e;Imboden Roger;**;;;;;;;;;56.25
