3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
+;6;8.5;Kuster Thomas;*;29;34.5;6;8.5;0;0.0;10.0
o;7;18.5;Linggi Bruno;**;7;56.5;8;18.25;1;-0.25;8.5
-;10;27.0;Kessler Joel;*;19;53.5;10;27.0;0;0.0;9.0
o;13;36.0;Murer Andy;**;16;54.25;14;35.75;1;-0.25;8.5
+;17;44.5;Zimmermann Simon;**;22;52.75;18;44.25;1;-0.25;10.0

15d;Bühler Hannes;*;;;;;;;;;54.5
-;;;Rohrer Ueli (1999);*;;;;;;;8.75
+;5;8.75;Betschart Silvan;*;30;34.25;5;8.75;0;0.0;10.0
o;6;18.75;Nötzli Reto;***;11;55.5;7;18.5;1;-0.25;8.5
o;9;27.25;Gwerder Carlo;**;9;56.0;7;27.75;-2;0.5;8.5
+;14;35.75;Betschart Patrick (1999);*;21;53.0;14;35.75;0;0.0;10.0
-;12;45.75;Murer Andy;**;16;54.25;13;45.5;1;-0.25;8.75

15e;Kropf Marcel;**;;;;;;;;;54.5
+;;;Fankhauser Marco;**;;;;;;;10.0
o;2;10.0;Nötzli Bruno;***;24;49.25;3;9.75;1;-0.25;8.5
+;7;18.5;Kessler Joel;*;19;53.5;7;18.5;0;0.0;10.0
o;4;28.5;Ulrich Andreas;***;5;57.0;4;28.5;0;0.0;8.75
-;8;37.25;Kenel Franz-Toni;*;16;54.25;9;37.0;1;-0.25;8.75
o;11;46.0;Gwerder Carlo;**;9;56.0;11;46.0;0;0.0;8.5

16a;Schuler Alex;***;;;;;;;;;54.25
-;;;Schmid David;***;;;;;;;8.75
+;5;8.75;Gerber Peter;*;21;53.0;3;9.75;-2;1.0;9.75
o;7;18.5;Hauri Urs;**;12;55.25;7;18.5;0;0.0;8.5
+;10;27.0;Schmid Dominik;**;10;55.75;9;27.25;-1;0.25;9.75
o;10;36.75;Suppiger René;***;9;56.0;7;37.5;-3;0.75;8.75
-;13;45.5;Herger Matthias;**;16;54.25;13;45.5;0;0.0;8.75

16b;Bucher Christian;*;;;;;;;;;54.25
+;;;Mangold Michael;*;;;;;;;10.0
o;2;10.0;Burkhalter Stefan;***;4;57.25;5;8.75;3;-1.25;8.5
o;7;18.5;Studinger Stephan;**;10;55.75;7;18.5;0;0.0;8.5
+;10;27.0;Hügli Kaj;*;26;35.25;11;26.75;1;-0.25;10.0
-;9;37.0;Forrer Arnold;***;14;54.75;13;36.0;4;-1.0;8.75
o;12;45.75;Widmer Tobias;**;14;54.75;15;45.0;3;-0.75;8.5

16c;Egli Damian;**;;;;;;;;;54.25
+;;;Oertig Adrian;**;;;;;;;9.75
o;3;9.75;Arnold Raphael;*;10;55.75;3;9.75;0;0.0;8.5
-;8;18.25;Kennel Stefan;**;18;53.75;8;18.25;0;0.0;9.0
+;9;27.25;Ammann Rico;*;22;52.75;10;27.0;1;-0.25;10.0
o;8;37.25;Bösch Daniel;***;3;57.5;7;37.5;-1;0.25;8.5
o;12;45.75;Klausner Yanick;**;12;55.25;14;45.25;2;-0.5;8.5

16d;Murer Andy;**;;;;;;;;;54.25
-;;;Schmid Dominik;**;;;;;;;8.75
o;5;8.75;Hauri Urs;**;12;55.25;6;8.5;1;-0.25;8.5
+;11;17.25;Vestner Bruno;*;26;35.25;12;17.0;1;-0.25;10.0
o;9;27.25;Fankhauser Marco;**;11;55.5;9;27.25;0;0.0;8.5
+;14;35.75;Schmid Samuel;**;15;54.5;13;36.0;-1;0.25;9.75
-;13;45.5;Bühler Hannes;*;15;54.5;12;45.75;-1;0.25;8.75

16e;Kenel Franz-Toni;*;;;;;;;;;54.25
+;;;Ammann Rico;*;;;;;;;9.75
o;3;9.75;Hersche Martin;***;11;55.5;6;8.5;3;-1.25;8.5
+;8;18.25;Egli Pirmin;**;10;55.75;7;18.5;-1;0.25;10.0
-;5;28.25;Schmid David;***;16;54.25;9;27.25;4;-1.0;8.75
-;9;37.0;Kropf Marcel;**;15;54.5;8;37.25;-1;0.25;8.75
o;12;45.75;Arnold Raphael;*;10;55.75;12;45.75;0;0.0;8.5

16f;Rohrer Ivan;**;;;;;;;;;54.25
+;;;Hauri Urs;**;;;;;;;9.75
-;3;9.75;Egli Pirmin;**;10;55.75;3;9.75;0;0.0;8.75
+;7;18.5;Gloggner Reto;**;17;54.0;7;18.5;0;0.0;10.0
o;4;28.5;Kuster Marcel;***;11;55.5;5;28.25;1;-0.25;8.5
-;9;37.0;Oertig Dominik;**;13;55.0;6;37.75;-3;0.75;8.75
o;12;45.75;Forrer Arnold;***;14;54.75;16;44.75;4;-1.0;8.5

