5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
-;10;37.0;Bühler Ramon;;11;56.0;10;37.0;0;0.0;8.75
+;13;45.75;Arnold Kilian;;22;53.25;17;44.75;4;-1.0;10.0

12d;Wiss Ivan (2004);;;;;;;;;;55.75
+;;;Waser Kevin (2006);;;;;;;;9.75
o;3;9.75;Ulrich Gregor;*;12;55.75;6;8.5;3;-1.25;8.75
+;7;18.5;Gwerder Beni;;14;55.25;8;18.25;1;-0.25;10.0
o;5;28.5;Schöpfer Ronny;**;6;57.25;6;28.25;1;-0.25;8.5
+;10;37.0;Schmidiger Lukas (2004);;20;53.75;11;36.75;1;-0.25;9.75
-;9;46.75;Ettlin Stefan;**;9;56.5;6;47.5;-3;0.75;9.0

12e;Inderbitzin Daniel;*;;;;;;;;;55.75
+;;;Ottiger Lukas;*;;;;;;;10.0
o;2;10.0;Arnold Stefan;**;9;56.5;3;9.75;1;-0.25;8.5
-;7;18.5;Hurschler Stefan (2006);;17;54.5;6;18.75;-1;0.25;8.75
-;10;27.25;Epp Elias;;16;54.75;9;27.5;-1;0.25;8.75
+;14;36.0;Bieri Elias;;13;55.5;10;37.0;-4;1.0;9.75
+;13;45.75;Waser Kevin (2006);;18;54.25;13;45.75;0;0.0;10.0

12f;Troxler Jonas;*;;;;;;;;;55.75
+;;;Arnold Severin;*;;;;;;;9.75
o;3;9.75;Suter Bruno;*;12;55.75;2;10.0;-1;0.25;8.5
+;8;18.25;Wyrsch Gabriel;;14;55.25;7;18.5;-1;0.25;9.75
-;7;28.0;Ulrich Michael;;5;57.5;5;28.5;-2;0.5;9.0
+;10;37.0;Briker Raphael (2006);;18;54.25;11;36.75;1;-0.25;10.0
o;8;47.0;Arnold Raphael;**;5;57.5;6;47.5;-2;0.5;8.75

12g;Wyrsch Silvio;*;;;;;;;;;55.75
-;;;Langensand Stefan;*;;;;;;;8.75
o;5;8.75;Lussi Marco;**;11;56.0;5;8.75;0;0.0;8.5
+;12;17.25;Bissig Joris;;18;54.25;7;18.5;-5;1.25;10.0
+;10;27.25;Christen Silvan;;18;54.25;9;27.5;-1;0.25;10.0
o;9;37.25;Ulrich Michael;;5;57.5;8;37.5;-1;0.25;8.5
+;13;45.75;Styger Alex;;16;54.75;11;46.25;-2;0.5;10.0

12h;Ulrich Gregor;*;;;;;;;;;55.75
o;;;Hürlimann Mathias;*;;;;;;;8.5
+;6;8.5;Wiss Ivan (2004);;12;55.75;3;9.75;-3;1.25;10.0
-;7;18.5;Waser Raphael;;16;54.75;6;18.75;-1;0.25;8.75
+;10;27.25;Schuler Daniel;*;14;55.25;11;27.0;1;-0.25;9.75
+;10;37.0;Gisler Noah;;15;55.0;12;36.5;2;-0.5;10.0
o;8;47.0;Suter Pirmin;**;9;56.5;10;46.5;2;-0.5;8.75

12i;Elmiger Matthias;;;;;;;;;;55.75
-;;;Hurschler Adrian;;;;;;;;9.0
+;4;9.0;Styger Alex;;16;54.75;4;9.0;0;0.0;10.0
+;5;19.0;Durrer Markus;*;14;55.25;7;18.5;2;-0.5;9.75
o;4;28.75;Suter Bruno;*;12;55.75;5;28.5;1;-0.25;8.5
+;9;37.25;Betschart Roger;;16;54.75;8;37.5;-1;0.25;10.0
o;7;47.25;Heinzer Ronny;*;9;56.5;9;46.75;2;-0.5;8.5

12j;Herger Fabian;*;;;;;;;;;55.75
+;;;Reichmuth Lukas;*;;;;;;;10.0
o;2;10.0;Gwerder Dario;**;9;56.5;3;9.75;1;-0.25;8.5
+;7;18.5;Barmettler Severin (2005);;17;54.5;6;18.75;-1;0.25;9.75
