5547-2021-07-18_Schwyzer_Kantonales_Schwingfest-ST

1a;Schuler Christian;***;;;;;;;;;59.5

14j;Rogenmoser Ryan;;;;;;;;;;54.75
-;;;Wicki Patrick;;;;;;;;8.75
o;4;8.75;Blumenthal Lino;;11;55.5;5;8.5;1;-0.25;8.75
-;10;17.5;Kurmann Jvo;;15;54.5;10;17.5;0;0.0;8.75
+;14;26.25;Stadler Simon;;29;34.0;17;25.5;3;-0.75;10.0
o;12;36.25;Mehr Lars;;13;55.0;10;36.75;-2;0.5;8.5
+;16;44.75;Lagler Reto;;20;53.25;16;44.75;0;0.0;10.0

15a;Kurmann Jvo;;;;;;;;;;54.5
-;;;Gerber Jakob;;;;;;;;8.75
-;4;8.75;Lagler Reto;;20;53.25;5;8.5;1;-0.25;8.75
-;10;17.5;Rogenmoser Ryan;;14;54.75;10;17.5;0;0.0;8.75
+;14;26.25;Birchler Kilian;;28;34.25;16;25.75;2;-0.5;10.0
+;12;36.25;Ulrich Damian;;18;53.75;11;36.5;-1;0.25;9.75
o;11;46.0;von Euw Lukas;;8;56.25;10;46.25;-1;0.25;8.5

15b;Betschart Daniel;;;;;;;;;;54.5
-;;;Egli Adrian;;;;;;;;8.75
+;4;8.75;Bucher Sandro;;20;53.25;5;8.5;1;-0.25;10.0
o;5;18.75;Wyss Sven;*;11;55.5;6;18.5;1;-0.25;8.75
o;9;27.5;Schaller Noah;;10;55.75;9;27.5;0;0.0;8.5
-;13;36.0;Bühler Patrice;;15;54.5;13;36.0;0;0.0;8.75
+;16;44.75;Bühler Ramon;;20;53.25;16;44.75;0;0.0;9.75

15c;Solenthaler David (2004);;;;;;;;;;54.5
-;;;Suter Nicola (2005);;;;;;;;9.0
o;3;9.0;Elmiger Andreas;;4;57.25;3;9.0;0;0.0;8.5
o;10;17.5;Arnold Kilian;;16;54.25;7;18.25;-3;0.75;8.5
+;15;26.0;Ulrich Sandro (2005);;27;34.5;15;26.0;0;0.0;10.0
o;13;36.0;Herger Marco;;14;54.75;13;36.0;0;0.0;8.5
+;17;44.5;von Flüe Silvan (2004);;21;53.0;17;44.5;0;0.0;10.0

15d;Schnider Markus;*;;;;;;;;;54.5
-;;;Blaser Theo;*;;;;;;;8.75
+;4;8.75;Züger Benjamin (2004);;16;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;von Euw Lukas;;8;56.25;4;19.0;-1;0.25;9.75
o;5;28.5;Odermatt Andreas;**;5;57.0;5;28.5;0;0.0;8.5
-;9;37.0;Steiner Severin;;14;54.75;8;37.25;-1;0.25;8.75
-;12;45.75;Rogenmoser Linus;;14;54.75;11;46.0;-1;0.25;8.75

15e;Durrer Markus;;;;;;;;;;54.5
-;;;Beffa Mario;;;;;;;;8.75
+;4;8.75;Schmidiger Lukas (2004);;17;54.0;1;10.0;-3;1.25;9.75
-;6;18.5;Betschart Roger (2003);;21;53.0;6;18.5;0;0.0;9.0
+;9;27.5;von Rickenbach Pirmin;;15;54.5;9;27.5;0;0.0;9.75
o;8;37.25;Kessler Joel;*;9;56.0;8;37.25;0;0.0;8.5
-;12;45.75;Wyrsch Marco;**;17;54.0;14;45.25;2;-0.5;8.75

15f;von Rickenbach Pirmin;;;;;;;;;;54.5
+;;;Bucher Sandro;;;;;;;;10.0
o;1;10.0;Felder Martin;*;5;57.0;4;8.75;3;-1.25;8.5
-;6;18.5;Bühler Patrice;;15;54.5;7;18.25;1;-0.25;9.0
o;9;27.5;Durrer Markus;;15;54.5;9;27.5;0;0.0;8.5
+;13;36.0;Achermann Ueli;;20;53.25;13;36.0;0;0.0;9.75
-;12;45.75;Murpf Dario;;16;54.25;13;45.5;1;-0.25;8.75

15g;Bühler Patrice;;;;;;;;;;54.5
+;;;Mehr Lars;;;;;;;;9.75
o;2;9.75;Kälin Roland;**;7;56.5;2;9.75;0;0.0;8.5
-;7;18.25;von Rickenbach Pirmin;;15;54.5;6;18.5;-1;0.25;9.0
-;10;27.25;Gerber Jakob;;15;54.5;11;27.0;1;-0.25;8.75
-;13;36.0;Betschart Daniel;;15;54.5;13;36.0;0;0.0;8.75
+;16;44.75;Betschart Roger (2003);;21;53.0;17;44.5;1;-0.25;9.75

15h;Ulrich Pascal;;;;;;;;;;54.5
+;;;Odermatt Fabian (2005);;;;;;;;9.75
o;2;9.75;Betschart Marcel;*;14;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Wyrsch Gabriel;;12;55.25;7;18.25;0;0.0;8.5
+;12;26.75;Durrer Pascal;;25;35.25;12;26.75;0;0.0;10.0
-;10;36.75;Theiler Thomas;;11;55.5;11;36.5;1;-0.25;9.0
o;12;45.75;Bacher Andreas;;11;55.5;13;45.5;1;-0.25;8.75

15i;Walker Jan (2004);;;;;;;;;;54.5
+;;;Wyttenbach Silvan (2005);;;;;;;;9.75
o;2;9.75;Lustenberger Josef;;6;56.75;4;8.75;2;-1.0;8.75
-;6;18.5;Achermann Christoph;*;10;55.75;7;18.25;1;-0.25;8.75
-;10;27.25;Schuler Samuel (2003);;14;54.75;9;27.5;-1;0.25;8.75
+;13;36.0;Kathriner Severin;;17;54.0;14;35.75;1;-0.25;10.0
o;11;46.0;Felder Seppi;*;12;55.25;14;45.25;3;-0.75;8.5

15j;Gerber Jakob;;;;;;;;;;54.5
-;;;Kurmann Jvo;;;;;;;;8.75
+;4;8.75;Zimmermann Gian (2004);;25;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Bissig Lukas (2003);;7;56.5;7;18.25;1;-0.25;8.5
-;11;27.0;Bühler Patrice;;15;54.5;10;27.25;-1;0.25;8.75
-;14;35.75;Waser Raphael;;19;53.5;14;35.75;0;0.0;8.75
+;17;44.5;Achermann Ueli;;20;53.25;16;44.75;-1;0.25;10.0

15k;Rohrer Marco;;;;;;;;;;54.5
+;;;Waldis Sven (2004);;;;;;;;10.0
o;1;10.0;Schöpfer Ronny;**;4;57.25;4;8.75;3;-1.25;8.5
o;6;18.5;Suter Michael;;17;54.0;6;18.5;0;0.0;8.75
+;10;27.25;Steinauer Kevin (2004);;14;54.75;9;27.5;-1;0.25;9.75
-;9;37.0;Ulrich Michael (2003);;14;54.75;9;37.0;0;0.0;9.0
o;11;46.0;Schmid Simon;*;10;55.75;12;45.75;1;-0.25;8.5

15l;Odermatt Remo;*;;;;;;;;;54.5
-;;;Kennel Stefan;**;;;;;;;8.75
o;4;8.75;Lagler Christian;;6;56.75;1;10.0;-3;1.25;8.5
o;11;17.25;Ulrich Damian;;18;53.75;7;18.25;-4;1.0;8.5
+;16;25.75;Fässler Werner (2005);;17;54.0;11;27.0;-5;1.25;10.0
-;14;35.75;Reichmuth Lukas;*;13;55.0;13;36.0;-1;0.25;9.0
+;16;44.75;Gwerder Beni;;18;53.75;14;45.25;-2;0.5;9.75

16a;Schuler Daniel;*;;;;;;;;;54.25
o;;;Achermann Christoph;*;;;;;;;8.5
-;5;8.5;Achermann Simon;;11;55.5;1;10.0;-4;1.5;8.75
-;11;17.25;Lustenberger Tim (2005);;16;54.25;7;18.25;-4;1.0;8.75
+;15;26.0;Wyttenbach Silvan (2005);;17;54.0;11;27.0;-4;1.0;9.75
-;14;35.75;Wallimann Remo;*;16;54.25;14;35.75;0;0.0;8.75
+;17;44.5;Schwyzer Sebastian (2004);;18;53.75;14;45.25;-3;0.75;9.75

16b;von Büren Thomas;;;;;;;;;;54.25
+;;;Reichmuth Marco (2005);;;;;;;;10.0
+;1;10.0;Gwerder Beni;;18;53.75;4;8.75;3;-1.25;10.0
o;1;20.0;Heiniger Marco;**;4;57.25;4;19.0;3;-1.0;8.5
o;5;28.5;Bucher Thomas;*;4;57.25;5;28.5;0;0.0;8.5
o;9;37.0;Heinzer Lukas (2004);;12;55.25;9;37.0;0;0.0;8.5
o;13;45.5;Föhn Christian;;11;55.5;13;45.5;0;0.0;8.75

16c;Suter Lukas;;;;;;;;;;54.25
+;;;Blumenthal Lino;;;;;;;;10.0
o;1;10.0;Arnold Marcel;*;8;56.25;1;10.0;0;0.0;8.5
-;6;18.5;Brunner Timon;;12;55.25;7;18.25;1;-0.25;8.75
+;10;27.25;Laimbacher Cyrill (2004);;22;52.75;10;27.25;0;0.0;10.0
o;8;37.25;Ettlin Martin;*;5;57.0;8;37.25;0;0.0;8.5
o;12;45.75;Appert Silvan (2003);;10;55.75;11;46.0;-1;0.25;8.5

16d;von Ah Markus;;;;;;;;;;54.25
o;;;Schwyzer Samuel;;;;;;;;8.5
-;5;8.5;Schuler Thomas;;16;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Ulrich Sandro (2005);;27;34.5;10;17.5;-1;0.25;10.0
+;10;27.25;Marti Simon;;11;55.5;10;27.25;0;0.0;10.0
o;8;37.25;Felder Martin;*;5;57.0;8;37.25;0;0.0;8.5
o;12;45.75;Theiler Thomas;;11;55.5;13;45.5;1;-0.25;8.5

16e;Lustenberger Tim (2005);;;;;;;;;;54.25
o;;;Suter Samuel;;;;;;;;8.5
+;5;8.5;Stadler Simon;;29;34.0;5;8.5;0;0.0;9.75
-;7;18.25;Schuler Daniel;*;16;54.25;11;17.25;4;-1.0;9.0
o;10;27.25;Birchler Fabian;;10;55.75;10;27.25;0;0.0;8.5
+;14;35.75;Hüppin Lukas (2004);;18;53.75;15;35.5;1;-0.25;9.75
o;13;45.5;Hegner Ueli;*;12;55.25;14;45.25;1;-0.25;8.75

16f;Schuler Thomas;;;;;;;;;;54.25
-;;;Waser Raphael;;;;;;;;8.75
-;4;8.75;von Ah Markus;;16;54.25;5;8.5;1;-0.25;8.75
+;10;17.5;Arnold Sebastian;;12;55.25;7;18.25;-3;0.75;9.75
o;10;27.25;Schmidiger Marco;*;13;55.0;13;26.5;3;-0.75;8.5
+;14;35.75;Garovi Matteo (2003);;22;52.75;14;35.75;0;0.0;10.0
o;12;45.75;Marti Simon;;11;55.5;12;45.75;0;0.0;8.5

16g;Arnold Kilian;;;;;;;;;;54.25
+;;;Kälin Michael;;;;;;;;9.75
o;2;9.75;Egli Adrian;;17;54.0;4;8.75;2;-1.0;8.5
+;7;18.25;Solenthaler David (2004);;15;54.5;10;17.5;3;-0.75;9.75
o;7;28.0;Effinger Markus;*;9;56.0;9;27.5;2;-0.5;8.5
-;11;36.5;Schwyzer Sebastian (2004);;18;53.75;12;36.25;1;-0.25;9.0
o;13;45.5;Gut Koni;;10;55.75;12;45.75;-1;0.25;8.75

16h;Züger Benjamin (2004);;;;;;;;;;54.25
+;;;Krauer Andri (2005);;;;;;;;10.0
o;1;10.0;Schnider Markus;*;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Christen Silvan;;13;55.0;6;18.5;0;0.0;8.75
+;10;27.25;Suter Nicola (2005);;22;52.75;10;27.25;0;0.0;10.0
o;8;37.25;Graber Michael;*;11;55.5;8;37.25;0;0.0;8.5
o;12;45.75;Blumenthal Lino;;11;55.5;13;45.5;1;-0.25;8.5

16i;Wallimann Remo;*;;;;;;;;;54.25
-;;;Hegner Ueli;*;;;;;;;8.75
o;4;8.75;Lustenberger Marc (2003);;6;56.75;1;10.0;-3;1.25;8.5
+;11;17.25;Blättler Ronnie (2004);;18;53.75;7;18.25;-4;1.0;10.0
o;10;27.25;Zgraggen Peter;;13;55.0;6;28.25;-4;1.0;8.5
-;14;35.75;Schuler Daniel;*;16;54.25;14;35.75;0;0.0;8.75
+;17;44.5;Lienhard Ramon (2004);;18;53.75;14;45.25;-3;0.75;9.75

16j;Köpfli Mario (2005);;;;;;;;;;54.25
o;;;Herger Marco;;;;;;;;8.5
o;5;8.5;Imgrüth Fabian (2005);;25;35.25;5;8.5;0;0.0;8.75
+;11;17.25;Bucher Sandro;;20;53.25;12;17.0;1;-0.25;10.0
o;10;27.25;Hegner Ueli;*;12;55.25;13;26.5;3;-0.75;8.5
o;14;35.75;Bacher Andreas;;11;55.5;14;35.75;0;0.0;8.5
+;18;44.25;Fischer Markus;;21;53.0;18;44.25;0;0.0;10.0

16k;Murpf Dario;;;;;;;;;;54.25
-;;;Zanini David;;;;;;;;8.75
+;4;8.75;Kälin Michael;;27;34.5;5;8.5;1;-0.25;9.75
o;6;18.5;Odermatt Andreas;**;5;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Kathriner Andreas (2003);;25;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Brunner Timon;;12;55.25;9;37.0;0;0.0;8.5
-;13;45.5;von Rickenbach Pirmin;;15;54.5;12;45.75;-1;0.25;8.75

17a;Wyttenbach Silvan (2005);;;;;;;;;;54.0
o;;;Walker Jan (2004);;;;;;;;8.5
o;5;8.5;Auf der Maur Alex;;11;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Arnold Pascal (2004);;29;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Schuler Daniel;*;16;54.25;15;26.0;4;-1.0;8.75
+;14;35.75;Bucher Sandro;;20;53.25;14;35.75;0;0.0;9.75
o;13;45.5;Beffa Mario;;11;55.5;13;45.5;0;0.0;8.5

17b;Fässler Werner (2005);;;;;;;;;;54.0
-;;;von Flüe Silvan (2004);;;;;;;;8.75
o;4;8.75;Mehr Lars;;13;55.0;5;8.5;1;-0.25;8.5
+;11;17.25;Furrer Jens;;29;34.0;12;17.0;1;-0.25;9.75
o;11;27.0;Odermatt Remo;*;15;54.5;16;25.75;5;-1.25;8.5
+;15;35.5;Arnold Livio (2004);;23;52.5;15;35.5;0;0.0;10.0
o;13;45.5;Achermann Simon;;11;55.5;13;45.5;0;0.0;8.5

17c;Egli Adrian;;;;;;;;;;54.0
-;;;Betschart Daniel;;;;;;;;8.75
+;4;8.75;Arnold Kilian;;16;54.25;2;9.75;-2;1.0;9.75
+;6;18.5;Felder Ivan (2004);;14;54.75;8;18.0;2;-0.5;9.75
-;6;28.25;Wyrsch Marco;**;17;54.0;8;27.75;2;-0.5;8.75
o;9;37.0;Gemsch Stefan;;13;55.0;10;36.75;1;-0.25;8.5
o;13;45.5;Gasser Dominik 1;;12;55.25;13;45.5;0;0.0;8.5

17d;Wicki Patrick;;;;;;;;;;54.0
-;;;Rogenmoser Ryan;;;;;;;;8.75
+;4;8.75;Schnellmann Alexander (2004);;13;55.0;2;9.75;-2;1.0;10.0
-;5;18.75;Moos Christoph;*;13;55.0;6;18.5;1;-0.25;9.0
-;8;27.75;Ettlin Michael;;13;55.0;8;27.75;0;0.0;9.0
-;10;36.75;Ettlin Mario (2003);;18;53.75;11;36.5;1;-0.25;8.75
o;13;45.5;Zanini David;;11;55.5;13;45.5;0;0.0;8.5

17e;Suter Michael;;;;;;;;;;54.0
+;;;Achermann Ueli;;;;;;;;10.0
o;1;10.0;Suter Pirmin;**;6;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Rohrer Marco;;15;54.5;6;18.5;0;0.0;10.0
o;5;28.5;Lagler Christian;;6;56.75;5;28.5;0;0.0;8.5
o;9;37.0;Thierstein Marco;*;10;55.75;10;36.75;1;-0.25;8.5
o;13;45.5;Scherrer Patrick;;11;55.5;12;45.75;-1;0.25;8.5

17f;Roner Remo;;;;;;;;;;54.0
+;;;Ulrich Sandro (2005);;;;;;;;10.0
o;1;10.0;Schürpf Bruno;*;14;54.75;3;9.0;2;-1.0;8.5
-;6;18.5;Andermatt Reto;;17;54.0;6;18.5;0;0.0;8.75
o;10;27.25;Gut Koni;;10;55.75;10;27.25;0;0.0;8.5
+;14;35.75;Büeler Ivo (2004);;21;53.0;14;35.75;0;0.0;9.75
o;13;45.5;Birchler Fabian;;10;55.75;12;45.75;-1;0.25;8.5

17g;Andermatt Reto;;;;;;;;;;54.0
+;;;Kathriner Severin;;;;;;;;10.0
o;1;10.0;Zurfluh Michael;*;11;55.5;5;8.5;4;-1.5;8.5
-;6;18.5;Roner Remo;;17;54.0;6;18.5;0;0.0;8.75
o;10;27.25;Barmettler Renato (2003);;9;56.0;8;27.75;-2;0.5;8.5
+;14;35.75;Fischer Markus;;21;53.0;14;35.75;0;0.0;9.75
o;13;45.5;Schmid Pius;;13;55.0;14;45.25;1;-0.25;8.5

17h;Suter Joel (2004);;;;;;;;;;54.0
o;;;Lagler Christian;;;;;;;;8.5
+;5;8.5;Ettlin Kevin;;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Waser Reto;*;9;56.0;7;18.25;1;-0.25;8.5
-;11;27.0;Schwegler Flavio (2004);;17;54.0;12;26.75;1;-0.25;8.75
+;14;35.75;Schmidiger Lukas (2004);;17;54.0;14;35.75;0;0.0;9.75
o;13;45.5;Lüthy Ralph;;10;55.75;12;45.75;-1;0.25;8.5

17i;Baumann Reto;;;;;;;;;;54.0
o;;;von Euw Lukas;;;;;;;;8.5
+;5;8.5;Reichlin Reto;;28;34.25;5;8.5;0;0.0;9.75
o;7;18.25;von Matt Lars;;13;55.0;7;18.25;0;0.0;8.75
o;11;27.0;Gwerder Beni;;18;53.75;16;25.75;5;-1.25;8.5
+;15;35.5;Britschgi Markus;;21;53.0;15;35.5;0;0.0;10.0
o;13;45.5;Reichmuth Lukas;*;13;55.0;15;45.0;2;-0.5;8.5

17j;Widmer Simon;;;;;;;;;;54.0
+;;;Schmid Pius;;;;;;;;10.0
o;1;10.0;Streiff Dominik;*;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Schwegler Flavio (2004);;17;54.0;7;18.25;1;-0.25;10.0
o;5;28.5;Arnold Raphael;**;4;57.25;9;27.5;4;-1.0;8.5
o;9;37.0;Von Euw Adi;;11;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Schuler Oliver;;11;55.5;13;45.5;0;0.0;8.5

17k;Schmidiger Lukas (2004);;;;;;;;;;54.0
+;;;Nideröst Remo (2005);;;;;;;;10.0
o;1;10.0;Durrer Markus;;15;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Omlin Toni;*;5;57.0;5;18.75;0;0.0;8.5
o;10;27.25;von Euw Lukas;;8;56.25;9;27.5;-1;0.25;8.5
o;14;35.75;Suter Joel (2004);;17;54.0;14;35.75;0;0.0;8.5
+;18;44.25;Laimbacher Cyrill (2004);;22;52.75;18;44.25;0;0.0;9.75

17l;Gander Sebastian (2003);;;;;;;;;;54.0
o;;;Von Euw Adi;;;;;;;;8.5
o;5;8.5;Hodler Mathias;;18;53.75;5;8.5;0;0.0;8.5
+;12;17.0;Bürgi Simon (2003);;31;25.75;11;17.25;-1;0.25;9.75
+;12;26.75;Imgrüth Fabian (2005);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Schürpf Bruno;*;14;54.75;12;36.25;2;-0.5;8.5
-;14;45.25;Schwegler Flavio (2004);;17;54.0;14;45.25;0;0.0;8.75

17m;Kathriner Severin;;;;;;;;;;54.0
o;;;Andermatt Reto;;;;;;;;8.5
-;5;8.5;Keller Damian;;26;35.0;4;8.75;-1;0.25;8.75
+;11;17.25;Camenzind Simon (2004);;29;34.0;12;17.0;1;-0.25;10.0
o;10;27.25;Steiner Severin;;14;54.75;10;27.25;0;0.0;8.5
o;14;35.75;Walker Jan (2004);;15;54.5;13;36.0;-1;0.25;8.5
+;18;44.25;Suter Nicola (2005);;22;52.75;18;44.25;0;0.0;9.75

17n;Schwegler Flavio (2004);;;;;;;;;;54.0
+;;;Fischer Markus;;;;;;;;9.75
o;2;9.75;Felder Seppi;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Widmer Simon;;17;54.0;6;18.5;-1;0.25;8.5
-;12;26.75;Suter Joel (2004);;17;54.0;11;27.0;-1;0.25;8.75
+;15;35.5;Suter Nicola (2005);;22;52.75;14;35.75;-1;0.25;9.75
-;14;45.25;Gander Sebastian (2003);;17;54.0;14;45.25;0;0.0;8.75

17o;Ettlin Kevin;;;;;;;;;;54.0
o;;;Föhn Christian;;;;;;;;8.5
o;5;8.5;Suter Joel (2004);;17;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Bamert Mathis (2005);;29;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Schuler Oliver;;11;55.5;11;27.0;0;0.0;8.5
+;15;35.5;Gisler Silvan;;18;53.75;15;35.5;0;0.0;10.0
o;13;45.5;Schmidiger Marco;*;13;55.0;15;45.0;2;-0.5;8.5

17p;Wyrsch Marco;**;;;;;;;;;54.0
-;;;Omlin Toni;*;;;;;;;8.75
-;4;8.75;Schaller Noah;;10;55.75;1;10.0;-3;1.25;9.0
+;9;17.75;Gut Koni;;10;55.75;5;18.75;-4;1.0;10.0
-;8;27.75;Egli Adrian;;17;54.0;6;28.25;-2;0.5;8.75
-;11;36.5;Hegner Ueli;*;12;55.25;11;36.5;0;0.0;8.75
-;14;45.25;Durrer Markus;;15;54.5;12;45.75;-2;0.5;8.75

18a;Blättler Ronnie (2004);;;;;;;;;;53.75
o;;;Amrhyn Jonas (2003);;;;;;;;8.5
+;5;8.5;Gisler Lukas (2005);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Wallimann Remo;*;16;54.25;11;17.25;4;-1.0;8.5
+;12;26.75;Krauer Andri (2005);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Ettlin Michael;;13;55.0;10;36.75;0;0.0;8.5
o;14;45.25;Schuler Samuel (2003);;14;54.75;15;45.0;1;-0.25;8.5

18b;Hüppin Lukas (2004);;;;;;;;;;53.75
o;;;Rogenmoser Linus;;;;;;;;8.5
o;5;8.5;Bühler Ramon;;20;53.25;4;8.75;-1;0.25;8.5
o;12;17.0;Schmid Pius;;13;55.0;12;17.0;0;0.0;8.5
+;17;25.5;Broch Marcel;;28;34.25;16;25.75;-1;0.25;10.0
o;15;35.5;Lustenberger Tim (2005);;16;54.25;14;35.75;-1;0.25;8.5
+;19;44.0;Odermatt Fabian (2005);;23;52.5;19;44.0;0;0.0;9.75

18c;Schwyzer Sebastian (2004);;;;;;;;;;53.75
-;;;Appert Silvan (2003);;;;;;;;9.0
-;3;9.0;Gasser Dominik 1;;12;55.25;3;9.0;0;0.0;9.0
o;8;18.0;Zimmermann Raffael;;18;53.75;6;18.5;-2;0.5;8.5
+;13;26.5;Betschart Fabian;;28;34.25;16;25.75;3;-0.75;9.75
-;12;36.25;Arnold Kilian;;16;54.25;11;36.5;-1;0.25;9.0
o;14;45.25;Schuler Daniel;*;16;54.25;17;44.5;3;-0.75;8.5

18d;Gisler Silvan;;;;;;;;;;53.75
-;;;Arnold Livio (2004);;;;;;;;8.75
o;4;8.75;Appert Silvan (2003);;10;55.75;3;9.0;-1;0.25;8.5
+;11;17.25;Lagler Reto;;20;53.25;11;17.25;0;0.0;9.75
o;11;27.0;Gasser Dominik 1;;12;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Ettlin Kevin;;17;54.0;15;35.5;0;0.0;8.5
+;19;44.0;Garovi Matteo (2003);;22;52.75;18;44.25;-1;0.25;9.75

18e;Lienhard Ramon (2004);;;;;;;;;;53.75
o;;;Schnellmann Alexander (2004);;;;;;;;8.5
-;5;8.5;Ulrich Sandro (2005);;27;34.5;5;8.5;0;0.0;8.75
o;11;17.25;Schuler Samuel (2003);;14;54.75;10;17.5;-1;0.25;8.5
+;16;25.75;Waldis Sven (2004);;29;34.0;17;25.5;1;-0.25;9.75
+;15;35.5;Laimbacher Cyrill (2004);;22;52.75;14;35.75;-1;0.25;9.75
o;14;45.25;Wallimann Remo;*;16;54.25;17;44.5;3;-0.75;8.5

18f;Hodler Mathias;;;;;;;;;;53.75
o;;;Lüthy Ralph;;;;;;;;8.5
+;5;8.5;Gander Sebastian (2003);;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Gwerder Beni;;18;53.75;11;17.25;4;-1.0;10.0
o;6;28.25;Kenel Franz-Toni;*;10;55.75;9;27.5;3;-0.75;8.5
o;10;36.75;Wiget Ueli;;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Arnold Sebastian;;12;55.25;14;45.25;0;0.0;8.5

18g;Ulrich Damian;;;;;;;;;;53.75
o;;;Durrer Lukas;;;;;;;;8.5
+;5;8.5;Furrer Jens;;29;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Odermatt Remo;*;15;54.5;11;17.25;4;-1.0;9.75
o;7;28.0;Bissig Fabian;;8;56.25;7;28.0;0;0.0;8.5
o;11;36.5;Kurmann Jvo;;15;54.5;12;36.25;1;-0.25;8.5
o;15;45.0;von Matt Lars;;13;55.0;15;45.0;0;0.0;8.75

18h;Ettlin Mario (2003);;;;;;;;;;53.75
+;;;Kryenbühl Mauro (2005);;;;;;;;9.75
o;2;9.75;Betschart Patrick;*;5;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Wiget Ueli;;12;55.25;6;18.5;-1;0.25;9.75
o;7;28.0;Beffa Mario;;11;55.5;10;27.25;3;-0.75;8.5
-;11;36.5;Wicki Patrick;;17;54.0;10;36.75;-1;0.25;8.75
o;14;45.25;Wyrsch Gabriel;;12;55.25;14;45.25;0;0.0;8.5

18i;Suter Raphael;;;;;;;;;;53.75
+;;;Büeler Ivo (2004);;;;;;;;9.75
o;2;9.75;Niederberger Markus;*;30;27.0;5;8.5;3;-1.25;8.5
+;7;18.25;Kathriner Andreas (2003);;25;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Achermann Simon;;11;55.5;10;27.25;3;-0.75;8.5
o;11;36.5;Schöpfer Marco (2003);;12;55.25;10;36.75;-1;0.25;8.5
-;15;45.0;Waser Raphael;;19;53.5;16;44.75;1;-0.25;8.75

18j;Zimmermann Raffael;;;;;;;;;;53.75
-;;;Bühler Ramon;;;;;;;;8.75
+;4;8.75;Birchler Kilian;;28;34.25;5;8.5;1;-0.25;9.75
+;6;18.5;Schwyzer Sebastian (2004);;18;53.75;8;18.0;2;-0.5;9.75
o;6;28.25;Graber Michael;*;11;55.5;10;27.25;4;-1.0;8.5
o;10;36.75;Vogel Laurin;;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Amrhyn Jonas (2003);;13;55.0;15;45.0;1;-0.25;8.5

18k;Mignola Lorenzo;;;;;;;;;;53.75
-;;;Laimbacher Cyrill (2004);;;;;;;;8.75
o;4;8.75;Vogel Manuel;;12;55.25;5;8.5;1;-0.25;8.5
+;11;17.25;Stadler Simon;;29;34.0;12;17.0;1;-0.25;9.75
o;11;27.0;Mehr Lars;;13;55.0;11;27.0;0;0.0;8.5
o;15;35.5;Gwerder Beni;;18;53.75;15;35.5;0;0.0;8.5
+;19;44.0;Arnold Livio (2004);;23;52.5;19;44.0;0;0.0;9.75

18l;Gwerder Beni;;;;;;;;;;53.75
-;;;Betschart Roger (2003);;;;;;;;8.75
o;4;8.75;von Büren Thomas;;16;54.25;1;10.0;-3;1.25;8.5
o;11;17.25;Hodler Mathias;;18;53.75;7;18.25;-4;1.0;8.5
+;16;25.75;Baumann Reto;;17;54.0;11;27.0;-5;1.25;9.75
+;15;35.5;Mignola Lorenzo;;18;53.75;15;35.5;0;0.0;9.75
o;14;45.25;Odermatt Remo;*;15;54.5;16;44.75;2;-0.5;8.5

19a;Waser Raphael;;;;;;;;;;53.5
-;;;Schuler Thomas;;;;;;;;8.75
+;4;8.75;Theiler Thomas;;11;55.5;2;9.75;-2;1.0;9.75
o;6;18.5;Felder Martin;*;5;57.0;6;18.5;0;0.0;8.5
-;11;27.0;Bühler Ramon;;20;53.25;10;27.25;-1;0.25;8.75
-;14;35.75;Gerber Jakob;;15;54.5;14;35.75;0;0.0;9.0
-;16;44.75;Suter Raphael;;18;53.75;15;45.0;-1;0.25;8.75

20a;Lagler Reto;;;;;;;;;;53.25
o;;;Ettlin Michael;;;;;;;;8.5
-;5;8.5;Kurmann Jvo;;15;54.5;4;8.75;-1;0.25;8.75
o;11;17.25;Gisler Silvan;;18;53.75;11;17.25;0;0.0;8.75
