4449-2019-05-05_100_Zuger_Kantonales_Schwingfest-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.75
-;7;18.25;Rogenmoser Luca (2003);;26;34.75;12;17.0;5;-1.25;9.0
o;10;27.25;Stadler Kevin (2002);;16;54.25;10;27.25;0;0.0;8.5
o;15;35.75;Fellmann Simon;;13;55.0;11;36.75;-4;1.0;8.5
-;19;44.25;Meier Daniel;;20;53.25;18;44.5;-1;0.25;8.75

22a;Gisler Silvan (2002);;;;;;;;;;52.75
o;;;Blattmann Philipp;;;;;;;;8.5
+;5;8.5;Schmid Simon;;27;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Gassmann Michael;*;12;55.25;10;17.5;4;-1.0;8.5
o;11;27.0;Hürlimann Ueli (2001);;17;54.0;11;27.0;0;0.0;8.75
o;15;35.75;Suter Raphael;;15;54.5;14;36.0;-1;0.25;8.5
o;19;44.25;Rust Sandro;;15;54.5;18;44.5;-1;0.25;8.5

22b;Herger Andreas (2003);;;;;;;;;;52.75
-;;;Schelbert Roman (2003);;;;;;;;8.75
o;4;8.75;Gabriel Christian;;23;35.5;5;8.5;1;-0.25;8.5
o;11;17.25;Andermatt Adrian;;16;54.25;11;17.25;0;0.0;8.5
+;16;25.75;Henggeler Reto (2003);;27;34.25;16;25.75;0;0.0;10.0
o;15;35.75;Graber Michael;*;11;55.5;11;36.75;-4;1.0;8.5
o;19;44.25;Odermatt Lars (2002);;15;54.5;18;44.5;-1;0.25;8.5

22c;von Rickenbach Pirmin (2002);;;;;;;;;;52.75
+;;;Blattmann Roman (2003);;;;;;;;9.75
o;2;9.75;Blattmann Philipp;;13;55.0;1;10.0;-1;0.25;8.75
o;6;18.5;Schmidiger Marco;*;16;54.25;10;17.5;4;-1.0;8.75
o;10;27.25;Schmid Pius;;16;54.25;10;27.25;0;0.0;8.5
o;15;35.75;Gasser Dominik 2;;17;54.0;15;35.75;0;0.0;8.5
o;19;44.25;Gander Michael;;13;55.0;16;45.0;-3;0.75;8.5

23a;Föhn Christian (2002);;;;;;;;;;35.5
+;;;Barmettler Renato (2003);;;;;;;;9.75
o;2;9.75;Herger Andreas;;17;54.0;2;9.75;0;0.0;8.5
o;7;18.25;Müller Roger;*;23;35.5;12;17.0;5;-1.25;8.75
o;11;27.0;Baumann Marco;;16;54.25;10;27.25;-1;0.25;8.5

23b;Gabriel Christian;;;;;;;;;;35.5
o;;;Schärli Reto;;;;;;;;8.5
+;5;8.5;Herger Andreas (2003);;22;52.75;4;8.75;-1;0.25;9.75
o;7;18.25;Kempf Fabian (2002);;19;53.5;7;18.25;0;0.0;8.75
o;11;27.0;Vogel Marcel;;15;54.5;11;27.0;0;0.0;8.5

23c;Langenegger Gerhard;;;;;;;;;;35.5
o;;;Albert Thomas;;;;;;;;8.5
o;5;8.5;Durrer Ueli;;15;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Gasser Dominik 2;;17;54.0;11;17.25;-1;0.25;8.5
+;17;25.5;Rust Silvio (2001);;28;34.0;17;25.5;0;0.0;10.0

23d;Banz Matthias (2001);;;;;;;;;;35.5
-;;;Suter Lukas (2002);;;;;;;;8.75
+;4;8.75;Rogenmoser Luca (2003);;26;34.75;5;8.5;1;-0.25;9.75
o;6;18.5;Kennel Beat;*;5;57.0;10;17.5;4;-1.0;8.5
o;11;27.0;Lüthy Ralph;;13;55.0;11;27.0;0;0.0;8.5

23e;Dittli Mathias (2002);;;;;;;;;;35.5
-;;;Wyss Christian;;;;;;;;8.75
o;4;8.75;Vogel Marcel;;15;54.5;5;8.5;1;-0.25;8.5
o;11;17.25;Zimmermann Raffael;;16;54.25;11;17.25;0;0.0;8.5
+;16;25.75;Garovi Matteo (2003);;28;34.0;17;25.5;1;-0.25;9.75

23f;Müller Roger;*;;;;;;;;;35.5
o;;;Elsener Marcel;*;;;;;;;8.5
o;5;8.5;Döbeli Lukas;**;11;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Föhn Christian (2002);;23;35.5;7;18.25;-5;1.25;10.0
o;11;27.0;Weber Ivo;;10;55.75;9;27.5;-2;0.5;8.5

23g;Gander Benjamin;;;;;;;;;;35.5
+;;;Zimmermann Reto;;;;;;;;10.0
o;1;10.0;Jund Matthias;;12;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Huber Alex;*;10;55.75;6;18.5;0;0.0;8.5
o;11;27.0;Gisler Noah (2002);;17;54.0;11;27.0;0;0.0;8.5

23h;Brun Christian;;;;;;;;;;35.5
o;;;Bienz Romeo;;;;;;;;8.5
o;5;8.5;Mehr Lars (2002);;20;53.25;5;8.5;0;0.0;8.5
+;12;17.0;Nussbaumer Mirco (2003);;24;35.25;12;17.0;0;0.0;10.0
o;11;27.0;Ming Christian;*;14;54.75;13;26.5;2;-0.5;8.5

23i;Müller Marco;;;;;;;;;;35.5
o;;;Herger Marco (2002);;;;;;;;8.5
o;5;8.5;Imholz Elias;;17;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Rust Silvio (2001);;28;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Arnold Severin;*;23;35.5;16;25.75;5;-1.25;8.5

23j;Schöpfer Marco (2003);;;;;;;;;;35.5
-;;;Staub Ivan;;;;;;;;9.0
-;3;9.0;Hürlimann Marco (2002);;20;53.25;5;8.5;2;-0.5;9.0
o;8;18.0;Streiff Dominik;*;7;56.5;9;17.75;1;-0.25;8.5
-;13;26.5;Odermatt Lars (2002);;15;54.5;11;27.0;-2;0.5;9.0

23k;Heinzer Remo (2003);;;;;;;;;;35.5
+;;;Schmid Simon;;;;;;;;9.75
o;2;9.75;Riebli Urs (2002);;10;55.75;1;10.0;-1;0.25;8.5
-;7;18.25;Hürlimann Adrian (2002);;27;34.25;12;17.0;5;-1.25;8.75
o;11;27.0;Achermann Christoph;*;10;55.75;16;25.75;5;-1.25;8.5

23l;Burri Ueli;;;;;;;;;;35.5
o;;;Furrer Fabian;;;;;;;;8.5
+;5;8.5;Langenegger Raffael (2001);;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Arnold Fabian;*;5;57.0;10;17.5;4;-1.0;8.5
o;11;27.0;Suter Bruno (2002);;16;54.25;10;27.25;-1;0.25;8.5

23m;Arnold Severin;*;;;;;;;;;35.5
-;;;Moos Christoph;*;;;;;;;8.75
o;4;8.75;Egli Damian;**;6;56.75;3;9.0;-1;0.25;8.5
o;11;17.25;Graber Michael;*;11;55.5;12;17.0;1;-0.25;8.5
+;16;25.75;Müller Marco;;23;35.5;11;27.0;-5;1.25;9.75

23n;Bär Leo;;;;;;;;;;35.5
+;;;Lüthy Ralph;;;;;;;;9.75
o;2;9.75;Beffa Mario;;15;54.5;3;9.0;1;-0.75;8.5
o;7;18.25;Lagler Christian;;12;55.25;7;18.25;0;0.0;8.5
-;12;26.75;Gwerder Carlo;**;25;35.0;14;26.25;2;-0.5;8.75

23o;Arnold Sebastian;;;;;;;;;;35.5
o;;;Matter Marco;;;;;;;;8.5
o;5;8.5;Zimmermann Reto;;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Suter Michael (2002);;23;35.5;12;17.0;0;0.0;10.0
o;11;27.0;Barmettler Peter;*;12;55.25;12;26.75;1;-0.25;8.5

23p;Vogler Jonas;;;;;;;;;;35.5
o;;;Van Messel Noe (2002);;;;;;;;8.5
o;5;8.5;Baumann Marco;;16;54.25;4;8.75;-1;0.25;8.5
+;12;17.0;Inderbitzin Urs;;31;25.5;12;17.0;0;0.0;10.0
o;11;27.0;Betschart Marcel;*;13;55.0;12;26.75;1;-0.25;8.5

23q;Rohrer Michael;;;;;;;;;;35.5
o;;;Lustenberger Marc (2003);;;;;;;;8.5
o;5;8.5;Bürgi Tobias;;17;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Langenegger Raffael (2001);;23;35.5;12;17.0;0;0.0;10.0
o;11;27.0;Graber Michael;*;11;55.5;12;26.75;1;-0.25;8.5

23r;Langenegger Raffael (2001);;;;;;;;;;35.5
o;;;Kempf Fabian (2002);;;;;;;;8.5
o;5;8.5;Burri Ueli;;23;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Rohrer Michael;;23;35.5;12;17.0;0;0.0;8.5
+;17;25.5;Baumgartner Matthias (2003);;28;34.0;17;25.5;0;0.0;10.0

23s;Suter Michael (2002);;;;;;;;;;35.5
o;;;Wicki Patrick;;;;;;;;8.5
o;5;8.5;Lüthy Ralph;;13;55.0;5;8.5;0;0.0;8.5
o;12;17.0;Arnold Sebastian;;23;35.5;12;17.0;0;0.0;8.5
+;17;25.5;Keller Damian (2002);;28;34.0;17;25.5;0;0.0;10.0

23t;Furrer Fabian;;;;;;;;;;35.5
+;;;Burri Ueli;;;;;;;;10.0
o;1;10.0;Wicki Patrick;;10;55.75;1;10.0;0;0.0;8.5
o;6;18.5;Kurmann Toni;*;10;55.75;11;17.25;5;-1.25;8.5
o;11;27.0;Roner Remo (2002);;17;54.0;11;27.0;0;0.0;8.5

23u;Amgarten Martin;*;;;;;;;;;35.5
o;;;Bieri Christian;**;;;;;;;8.5
o;5;8.5;Fellmann Roman;**;10;55.75;5;8.5;0;0.0;8.5
o;12;17.0;Wicki Kevin;;11;55.5;5;18.75;-7;1.75;8.5
+;17;25.5;Schmid Pirmin;;24;35.25;12;26.75;-5;1.25;10.0

24a;Blattmann Roman (2003);;;;;;;;;;35.25
o;;;von Rickenbach Pirmin (2002);;;;;;;;8.5
o;5;8.5;Odermatt Lars (2002);;15;54.5;5;8.5;0;0.0;8.5
o;12;17.0;Gasser Dominik 1;;16;54.25;11;17.25;-1;0.25;8.5
+;17;25.5;Hürlimann Adrian (2002);;27;34.25;16;25.75;-1;0.25;9.75

24b;Kälin Michael (2002);;;;;;;;;;35.25
+;;;Bernet Raffael;;;;;;;;9.75
o;2;9.75;Hurschler Adrian;;17;54.0;1;10.0;-1;0.25;8.5
o;7;18.25;Barmettler Peter;*;12;55.25;12;17.0;5;-1.25;8.5
o;12;26.75;Langenegger Ruedi;;12;55.25;11;27.0;-1;0.25;8.5

24c;Schmid Pirmin;;;;;;;;;;35.25
+;;;Gisler Noah (2002);;;;;;;;9.75
o;2;9.75;Albert Thomas;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Lustenberger Marc (2003);;11;55.5;7;18.25;0;0.0;8.5
o;12;26.75;Amgarten Martin;*;23;35.5;17;25.5;5;-1.25;8.5

24d;Britschgi Marcel (2003);;;;;;;;;;35.25
o;;;Meier Daniel;;;;;;;;8.5
+;5;8.5;Hotz Basil (2003);;28;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Klauser Nico;;17;54.0;7;18.25;0;0.0;8.5
o;12;26.75;Hegner Ueli;*;12;55.25;11;27.0;-1;0.25;8.5

24e;Nussbaumer Mirco (2003);;;;;;;;;;35.25
o;;;Ulrich Pascal;;;;;;;;8.5
o;5;8.5;Aregger Fabian (2001);;17;54.0;4;8.75;-1;0.25;8.5
o;12;17.0;Brun Christian;;23;35.5;12;17.0;0;0.0;8.5
+;17;25.5;Schmid Simon;;27;34.25;16;25.75;-1;0.25;9.75

24f;Hotz Quirin;;;;;;;;;;35.25
+;;;Gander Sebastian (2003);;;;;;;;9.75
o;2;9.75;Ming Hannes;;12;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Hegner Ueli;*;12;55.25;12;17.0;5;-1.25;8.5
o;12;26.75;Ulrich Damian;;18;53.75;12;26.75;0;0.0;8.5

25a;Gwerder Carlo;**;;;;;;;;;35.0
o;;;Odermatt Christian;**;;;;;;;8.5
-;5;8.5;Ming Christian;*;14;54.75;4;8.75;-1;0.25;9.0
o;10;17.5;Bucher Thomas;;10;55.75;5;18.75;-5;1.25;8.75
-;14;26.25;Bär Leo;;23;35.5;12;26.75;-2;0.5;8.75

26a;Rogenmoser Luca (2003);;;;;;;;;;34.75
o;;;Suter Bruno (2002);;;;;;;;8.5
o;5;8.5;Banz Matthias (2001);;23;35.5;4;8.75;-1;0.25;8.5
-;12;17.0;Kaiser Sandro;;21;53.0;7;18.25;-5;1.25;9.0
o;15;26.0;Fischer Markus;;17;54.0;12;26.75;-3;0.75;8.75

26b;Betschart Silvan;*;;;;;;;;;34.75
-;;;Thierstein Marco;*;;;;;;;9.0
o;3;9.0;Betschart Remo;**;3;57.5;4;8.75;1;-0.25;8.5
o;10;17.5;Matter Marco;;7;56.5;6;18.5;-4;1.0;8.5
-;15;26.0;Zimmermann Raffael;;16;54.25;11;27.0;-4;1.0;8.75

26c;Suter Lukas (2002);;;;;;;;;;34.75
-;;;Banz Matthias (2001);;;;;;;;8.75
-;4;8.75;Arnold Robin (2003);;20;53.25;3;9.0;-1;0.25;9.0
o;9;17.75;Barmettler Renato (2003);;14;54.75;7;18.25;-2;0.5;8.5
o;14;26.25;Durrer Markus;;8;56.25;12;26.75;-2;0.5;8.5

27a;Schmid Simon;;;;;;;;;;34.25
o;;;Heinzer Remo (2003);;;;;;;;8.5
o;5;8.5;Gisler Silvan (2002);;22;52.75;5;8.5;0;0.0;8.5
-;12;17.0;Henggeler Reto (2003);;27;34.25;12;17.0;0;0.0;8.75
o;16;25.75;Nussbaumer Mirco (2003);;24;35.25;17;25.5;1;-0.25;8.5

27b;Schelbert Roman (2003);;;;;;;;;;34.25
-;;;Herger Andreas (2003);;;;;;;;8.75
o;4;8.75;Wiget Ueli;;21;53.0;4;8.75;0;0.0;8.5
o;11;17.25;Imholz Elias;;17;54.0;7;18.25;-4;1.0;8.5
o;16;25.75;Müller Dominik;;18;53.75;15;26.0;-1;0.25;8.5

27c;Henggeler Reto (2003);;;;;;;;;;34.25
o;;;Kaiser Sandro;;;;;;;;8.5
o;5;8.5;Stadler Kevin (2002);;16;54.25;5;8.5;0;0.0;8.5
-;12;17.0;Schmid Simon;;27;34.25;12;17.0;0;0.0;8.75
o;16;25.75;Herger Andreas (2003);;22;52.75;16;25.75;0;0.0;8.5

27d;Hürlimann Adrian (2002);;;;;;;;;;34.25
o;;;Ming Hannes;;;;;;;;8.5
o;5;8.5;Gander Sebastian (2003);;18;53.75;5;8.5;0;0.0;8.5
-;12;17.0;Heinzer Remo (2003);;23;35.5;7;18.25;-5;1.25;8.75
o;16;25.75;Blattmann Roman (2003);;24;35.25;17;25.5;1;-0.25;8.5

28a;Hotz Basil (2003);;;;;;;;;;34.0
o;;;Vogel Manuel;;;;;;;;8.5
o;5;8.5;Britschgi Marcel (2003);;24;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Gander Sebastian (2003);;18;53.75;7;18.25;-5;1.25;8.5
o;17;25.5;Hürlimann Marco (2002);;20;53.25;15;26.0;-2;0.5;8.5

28b;Baumgartner Matthias (2003);;;;;;;;;;34.0
o;;;Appert Silvan (2003);;;;;;;;8.5
o;5;8.5;Roner Remo (2002);;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Rust Sandro;;15;54.5;12;17.0;0;0.0;8.5
o;17;25.5;Langenegger Raffael (2001);;23;35.5;17;25.5;0;0.0;8.5

28c;Rust Silvio (2001);;;;;;;;;;34.0
o;;;Langenegger Ruedi;;;;;;;;8.5
o;5;8.5;Spichtig Aldo;;18;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Müller Marco;;23;35.5;12;17.0;0;0.0;8.5
o;17;25.5;Langenegger Gerhard;;23;35.5;17;25.5;0;0.0;8.5

28d;Garovi Matteo (2003);;;;;;;;;;34.0
o;;;Doppmann Ueli;;;;;;;;8.5
o;5;8.5;Suter Raphael;;15;54.5;5;8.5;0;0.0;8.5
o;12;17.0;Staub Ivan;;20;53.25;10;17.5;-2;0.5;8.5
o;17;25.5;Dittli Mathias (2002);;23;35.5;16;25.75;-1;0.25;8.5

28e;Keller Damian (2002);;;;;;;;;;34.0
o;;;Schuler Koni;;;;;;;;8.5
o;5;8.5;Gisler Noah (2002);;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Arnold Robin (2003);;20;53.25;8;18.0;-4;1.0;8.5
o;17;25.5;Suter Michael (2002);;23;35.5;17;25.5;0;0.0;8.5

29a;Appert Silvan (2003);;;;;;;;;;27.25
+;;;Baumgartner Matthias (2003);;;;;;;;9.75
-;2;9.75;Herger Marco (2002);;20;53.25;2;9.75;0;0.0;9.0
o;5;18.75;Durrer Fabian;*;8;56.25;6;18.5;1;-0.25;8.5

29b;Gloggner Philipp;***;;;;;;;;;27.25
o;;;Müllestein Mike;***;;;;;;;8.75
+;4;8.75;Villiger Cyrill;*;10;55.75;2;9.75;-2;1.0;10.0
o;5;18.75;Betschart Remo;**;3;57.5;5;18.75;0;0.0;8.5

30a;Suter Beat;;;;;;;;;;27.0
+;;;Gasser Dominik 2;;;;;;;;9.75
o;2;9.75;Arnold Marcel;*;13;55.0;5;8.5;3;-1.25;8.75
o;6;18.5;Aregger Fabian (2001);;17;54.0;6;18.5;0;0.0;8.5

31a;Inderbitzin Urs;;;;;;;;;;25.5
o;;;Fellmann Simon;;;;;;;;8.5
o;5;8.5;Fischer Markus;;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Vogler Jonas;;23;35.5;12;17.0;0;0.0;8.5

32a;Bernet Raffael;;;;;;;;;;17.0
o;;;Kälin Michael (2002);;;;;;;;8.5
o;5;8.5;Barmettler Renato (2003);;14;54.75;5;8.5;0;0.0;8.5

