3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
o;7;47.0;Huber Cédric;**;4;57.0;6;47.25;-1;0.25;8.5

10k;Kropf Marcel;**;;;;;;;;;55.5
+;;;Arnold Kornel;*;;;;;;;10.0
+;1;10.0;Brun Samuel (1999);*;11;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Thürig Mario;***;3;57.25;5;18.75;3;-1.0;8.5
+;4;28.25;Jusufi Ilber;;10;55.5;4;28.25;0;0.0;10.0
-;3;38.25;Vollenweider Jeremy (1998);*;5;56.75;4;38.0;1;-0.25;8.75
o;7;47.0;Leuthard Reto;*;5;56.75;8;46.75;1;-0.25;8.5

10l;Mangold Martin;;;;;;;;;;55.5
+;;;Imobersteg Tobias (1998);;;;;;;;10.0
o;1;10.0;Dobler Florian;;14;54.5;1;10.0;0;0.0;8.5
o;6;18.5;von Arx Christian;*;11;55.25;12;17.0;6;-1.5;8.5
+;9;27.0;Schaub Adrian (1999);;27;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Bader Andreas;*;10;55.5;8;37.0;0;0.0;8.75
+;12;45.75;Stegmüller Klemens;*;14;54.5;12;45.75;0;0.0;9.75

11a;Hermann Oliver;*;;;;;;;;;55.25
o;;;Kocher Remo;**;;;;;;;8.5
+;5;8.5;Schneider Markus;*;12;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Brügger Joël (2000);;12;55.0;4;19.0;-2;0.5;10.0
o;3;28.5;Bieri Christoph;***;21;47.5;7;27.5;4;-1.0;8.5
+;8;37.0;Schaub Reto (2000);;17;53.75;9;36.75;1;-0.25;9.75
o;8;46.75;Vollenweider Jeremy (1998);*;5;56.75;8;46.75;0;0.0;8.5

11b;Löw Christophe;**;;;;;;;;;55.25
-;;;Klausner Yanick;**;;;;;;;8.75
-;4;8.75;Schmid Samuel;**;8;56.0;4;8.75;0;0.0;9.0
+;9;17.75;Rüegger Aaron (1999);;9;55.75;6;18.5;-3;0.75;10.0
-;6;27.75;Gander Michael (1998);;15;54.25;5;28.0;-1;0.25;9.0
+;9;36.75;Schär Jonas (1999);;16;54.0;8;37.0;-1;0.25;10.0
o;8;46.75;Strebel Joel;**;23;47.0;7;47.0;-1;0.25;8.5

11c;Bürgler Patrick;;;;;;;;;;55.25
+;;;Grossmann Andreas;;;;;;;;10.0
o;1;10.0;Jusufi Ilber;;10;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Scherrer Johann;**;10;55.5;11;17.25;5;-1.25;8.5
+;9;27.0;Mohler Fernando;;32;34.0;14;25.5;5;-1.5;10.0
o;8;37.0;Hasler Manuel;*;4;57.0;7;37.25;-1;0.25;8.5
