2777-2017-06-25_122_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
+;9;37.0;Oertig Simon;;21;53.25;12;36.25;3;-0.75;9.75
o;9;46.75;Geisser Lars;*;7;56.75;9;46.75;0;0.0;8.75

12e;Gwerder Andreas;**;;;;;;;;;55.5
-;;;Roth Martin;*;;;;;;;8.75
+;4;8.75;Bernold Edi;**;11;55.75;4;8.75;0;0.0;10.0
-;5;18.75;Eugster Ruedi;**;11;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Vestner Bruno;*;18;54.0;5;28.25;-3;0.75;9.75
+;8;37.25;Pfleghart Remo;;19;53.75;10;36.75;2;-0.5;9.75
o;8;47.0;Krähenbühl Tobias;***;7;56.75;9;46.75;1;-0.25;8.5

12f;Good Marco;*;;;;;;;;;55.5
+;;;Frick Andreas;*;;;;;;;9.75
o;2;9.75;Klausner Yanick;**;8;56.5;2;9.75;0;0.0;8.5
-;7;18.25;Bickel Roman;*;16;54.5;8;17.5;1;-0.75;8.75
