2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
+;10;17.25;Rappo Yann (1998);;27;45.25;2;19.75;-8;2.5;9.75
+;10;27.0;Burri Flemming;;17;54.0;4;28.5;-6;1.5;10.0
o;10;37.0;Moser Steven;**;5;57.0;10;37.0;0;0.0;8.5
+;13;45.5;Vonlanthen Marc;;24;46.25;10;46.25;-3;0.75;9.75

12h;Egger Pierre (1999);;;;;;;;;;55.25
-;;;Burgy Matt (1999);;;;;;;;8.75
-;4;8.75;Berger Dilan (1998);;33;34.5;4;8.75;0;0.0;9.0
-;8;17.75;Burgy Frank (1997);;14;54.75;9;17.5;1;-0.25;9.0
+;11;26.75;Pürro Christian (1999);;30;35.5;10;27.0;-1;0.25;10.0
+;11;36.75;Quiot Didier;;26;45.5;10;37.0;-1;0.25;10.0
o;8;46.75;Häni William;**;6;56.75;8;46.75;0;0.0;8.5

12i;Hayoz Paul (1998);;;;;;;;;;55.25
-;;;Dufey Gil (1997);;;;;;;;8.75
+;4;8.75;Mariéthoz Grégory (1999);;20;53.25;3;9.0;-1;0.25;9.75
o;6;18.5;Kropf Rolf;**;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Capt Stéphane;;30;35.5;10;27.0;0;0.0;10.0
+;10;37.0;Boschung Markus;;15;54.5;10;37.0;0;0.0;9.75
o;8;46.75;Gottofrey Marc;*;5;57.0;6;47.25;-2;0.5;8.5

12j;Schafer Damien;;;;;;;;;;55.25
o;;;Cardinaux Victor;;;;;;;;8.5
+;5;8.5;Capt Stéphane;;30;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Buchs Julien (1999);;17;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Cropt Harald;**;10;55.75;4;28.5;-1;0.25;8.5
o;11;36.75;Schwander Severin;;12;55.25;11;36.75;0;0.0;8.5
+;14;45.25;Burri Flemming;;17;54.0;13;45.5;-1;0.25;10.0

12k;Schöpfer Dio (1997);;;;;;;;;;55.25
+;;;Reichenbach Ryan (1999);;;;;;;;10.0
o;1;10.0;Mosimann Vincent;*;17;54.0;5;8.5;4;-1.5;8.5
