4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
10a;Langenegger Beat;;;;;;;;;;55.5
+;;;Amstutz Janic (2002);;;;;;;;10.0
o;1;10.0;Nock Benjamin (2001);*;15;54.25;4;8.75;3;-1.25;8.5
o;4;18.5;Gartmann Mauro;**;16;54.0;9;17.25;5;-1.25;8.5
+;9;27.0;Inauen Severin (2002);;25;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Bickel Roman;*;12;55.0;9;36.75;1;-0.25;8.5
+;12;45.5;Signer Walter;;16;54.0;12;45.5;0;0.0;10.0

10b;Steiner Michael;**;;;;;;;;;55.5
-;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Schegg Daniel;;17;53.75;2;9.75;-2;1.0;10.0
-;3;18.75;Schlegel Werner (2002);**;12;55.0;4;18.5;1;-0.25;9.0
-;6;27.75;Heierli Pascal;*;11;55.25;8;27.25;2;-0.5;9.0
+;9;36.75;Signer Walter;;16;54.0;8;37.0;-1;0.25;10.0
-;7;46.75;Gmür Pirmin;**;7;56.25;5;47.25;-2;0.5;8.75

10c;Oettli Marco;**;;;;;;;;;55.5
-;;;Gmür Pirmin;**;;;;;;;8.75
+;4;8.75;Jörger Marc;*;4;57.0;1;10.0;-3;1.25;9.75
+;4;18.5;Koch Thomas;*;5;56.75;1;19.75;-3;1.25;10.0
o;3;28.5;Bless Michael;***;1;58.5;3;28.5;0;0.0;8.5
o;8;37.0;Landolt Reto;*;9;55.75;7;37.25;-1;0.25;8.5
+;12;45.5;Bollhalder Manuel (2001);*;13;54.75;9;46.25;-3;0.75;10.0

10d;Inauen Andreas;*;;;;;;;;;55.5
-;;;Brügger Stefan;*;;;;;;;8.75
-;4;8.75;Kiser Aron (2001);;13;54.75;1;10.0;-3;1.25;8.75
+;8;17.5;Amstutz Janic (2002);;24;35.5;5;18.25;-3;0.75;10.0
o;7;27.5;Ott Damian;**;8;56.0;8;27.25;1;-0.25;8.5
+;12;36.0;Keller Andreas;*;14;54.5;12;36.0;0;0.0;9.75
+;11;45.75;Götti Samuel;;16;54.0;13;45.25;2;-0.5;9.75

10e;Oertig Dominik;**;;;;;;;;;55.5
-;;;Schlegel Sandro;**;;;;;;;9.0
-;3;9.0;Giger Urs;*;4;57.0;2;9.75;-1;0.75;8.75
+;7;17.75;Inauen Aurel;;9;55.75;3;18.75;-4;1.0;9.75
+;7;27.5;Ammann Rico;*;12;55.0;4;28.25;-3;0.75;9.75
+;7;37.25;Lanter Christian;*;15;54.25;8;37.0;1;-0.25;9.75
o;6;47.0;Schneider Domenic;***;2;57.5;4;47.5;-2;0.5;8.5

10f;Kammermann Thomas;*;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
-;5;8.5;Thoma Christoph;;10;55.5;1;10.0;-4;1.5;8.75
+;9;17.25;Peter Philipp (2002);;20;53.0;4;18.5;-5;1.25;9.75
+;9;27.0;Willi Renato;;24;35.5;9;27.0;0;0.0;9.75
+;9;36.75;Kuhn Roman;*;12;55.0;10;36.5;1;-0.25;10.0
o;7;46.75;Poltera Andrin;*;3;57.25;5;47.25;-2;0.5;8.75

10g;Mettler Valentin;*;;;;;;;;;55.5
o;;;Kuster Thomas;*;;;;;;;8.5
+;5;8.5;Tobler Marco;;24;35.5;1;10.0;-4;1.5;10.0
+;4;18.5;Streule Marco;;24;35.5;4;18.5;0;0.0;10.0
o;3;28.5;Kindlimann Fabian;***;7;56.25;7;27.5;4;-1.0;8.5
+;8;37.0;Naef Sandro;;16;54.0;9;36.75;1;-0.25;9.75
o;7;46.75;Schmid Patrick;*;5;56.75;6;47.0;-1;0.25;8.75

10h;Thoma Luca;;;;;;;;;;55.5
+;;;Knup Stephan;;;;;;;;10.0
o;1;10.0;Aerne Christian;*;12;55.0;5;8.5;4;-1.5;8.5
+;4;18.5;Schegg Daniel;;17;53.75;5;18.25;1;-0.25;10.0
o;3;28.5;Gmür Pirmin;**;7;56.25;7;27.5;4;-1.0;8.5
o;8;37.0;Dändliker Shane;**;5;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Schrepfer Roy;;14;54.5;11;45.75;-1;0.25;10.0

10i;Thoma Christoph;;;;;;;;;;55.5
+;;;Blaser Niklas;*;;;;;;;10.0
-;1;10.0;Kammermann Thomas;*;10;55.5;5;8.5;4;-1.5;8.75
o;3;18.75;Jörger Marc;*;4;57.0;4;18.5;1;-0.25;8.5
+;8;27.25;Peter Philipp (2002);;20;53.0;8;27.25;0;0.0;10.0
o;7;37.25;Rüegg Fabian;*;8;56.0;5;37.75;-2;0.5;8.5
+;11;45.75;Tanner Markus (2002);;21;52.75;17;44.25;6;-1.5;9.75

10j;Dörig Erich;*;;;;;;;;;55.5
+;;;Heierli Pascal;*;;;;;;;9.75
o;2;9.75;Schlegel Werner (2002);**;12;55.0;4;8.75;2;-1.0;8.5
+;5;18.25;Fuster Arjuna (2003);;15;54.25;4;18.5;-1;0.25;10.0
-;4;28.25;Koller Fabian;*;11;55.25;5;28.0;1;-0.25;9.0
+;7;37.25;Götti Samuel;;16;54.0;9;36.75;2;-0.5;9.75
o;6;47.0;Hugelshofer Lars (2001);*;6;56.5;8;46.5;2;-0.5;8.5

11a;Vestner Bruno;*;;;;;;;;;55.25
-;;;Keller Andreas;*;;;;;;;8.75
+;4;8.75;Fuster Arjuna (2003);;15;54.25;1;10.0;-3;1.25;9.75
o;4;18.5;Krähenbühl Tobias;***;6;56.5;6;18.0;2;-0.5;8.5
+;9;27.0;Spörndli Cyril (2003);;25;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Schäppi Urs;*;11;55.25;8;37.0;-1;0.25;8.5
+;13;45.25;Signer Ramon (2002);;18;53.5;14;45.0;1;-0.25;10.0

11b;Schäppi Urs;*;;;;;;;;;55.25
-;;;Bärtsch Fabian;*;;;;;;;8.75
+;4;8.75;Schrepfer Roy;;14;54.5;1;10.0;-3;1.25;9.75
o;4;18.5;Fausch Kjetil;*;12;55.0;4;18.5;0;0.0;8.5
+;9;27.0;Junker Nik;;24;35.5;9;27.0;0;0.0;10.0
+;8;37.0;Vestner Bruno;*;11;55.25;9;36.75;1;-0.25;9.75
o;7;46.75;Koch Reto;*;3;57.25;4;47.5;-3;0.75;8.5

11c;Notz Beni;***;;;;;;;;;55.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Kuster Thomas;*;6;56.5;1;10.0;-3;1.25;9.75
o;4;18.5;Rüegg Fabian;*;8;56.0;3;18.75;-1;0.25;8.5
+;9;27.0;Breitenmoser Manuel;*;11;55.25;5;28.0;-4;1.0;9.75
+;9;36.75;Nock Benjamin (2001);*;15;54.25;8;37.0;-1;0.25;9.75
-;8;46.5;Bernold Christian;**;8;56.0;5;47.25;-3;0.75;8.75

11d;Heierli Pascal;*;;;;;;;;;55.25
o;;;Dörig Erich;*;;;;;;;8.5
-;5;8.5;Schmid Reto;;14;54.5;1;10.0;-4;1.5;9.0
+;8;17.5;Mösli Marcel;;19;53.25;5;18.25;-3;0.75;9.75
-;8;27.25;Steiner Michael;**;10;55.5;6;27.75;-2;0.5;9.0
-;11;36.25;Oertle Daniel;*;9;55.75;9;36.75;-2;0.5;9.0
+;13;45.25;Signer Patrick;;17;53.75;13;45.25;0;0.0;10.0

11e;Wey Nicola;*;;;;;;;;;55.25
o;;;Hugelshofer Lars (2001);*;;;;;;;8.5
+;5;8.5;Niederer Andreas (2002);;13;54.75;1;10.0;-4;1.5;10.0
o;4;18.5;Schneider Mario;**;4;57.0;4;18.5;0;0.0;8.5
+;9;27.0;Wehrli Jan (2002);;16;54.0;8;27.25;-1;0.25;9.75
+;9;36.75;Keller Manuel;*;15;54.25;12;36.0;3;-0.75;10.0
o;7;46.75;Kuster Marcel;***;5;56.75;6;47.0;-1;0.25;8.5

11f;Koller Fabian;*;;;;;;;;;55.25
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Salnajs Leo;;13;54.75;1;10.0;-4;1.5;9.75
+;5;18.25;Ackermann Roman;;14;54.5;4;18.5;-1;0.25;9.75
-;5;28.0;Dörig Erich;*;10;55.5;4;28.25;-1;0.25;8.75
o;9;36.75;Schlegel Werner (2002);**;12;55.0;11;36.25;2;-0.5;8.5
+;13;45.25;Laager Michael (2001);;15;54.25;11;45.75;-2;0.5;10.0

11g;Breitenmoser Manuel;*;;;;;;;;;55.25
-;;;Oettli Silvio;*;;;;;;;9.0
-;3;9.0;Landolt Reto;*;9;55.75;5;8.5;2;-0.5;9.0
+;6;18.0;Rust Emanuel;;24;35.5;4;18.5;-2;0.5;10.0
