3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
+;6;28.5;Lanter Christian;;12;55.25;4;29.0;-2;0.5;9.75
o;4;38.25;Coray Beda;*;7;56.5;4;38.25;0;0.0;8.75
-;8;47.0;Elmer Daniel;*;7;56.5;5;47.75;-3;0.75;8.75

10f;Wettstein Daniel;;;;;;;;;;55.75
o;;;Näf Pius;*;;;;;;;8.5
+;5;8.5;Schwager Mike (2000);;24;35.5;4;8.75;-1;0.25;10.0
+;6;18.5;Büchler Livio (2001);;24;35.5;6;18.5;0;0.0;9.75
+;7;28.25;Pfister Florian;*;24;35.5;12;27.0;5;-1.25;10.0
o;4;38.25;Arztmann Beda;;6;56.75;4;38.25;0;0.0;8.5
-;9;46.75;Lanter Christian;;12;55.25;11;46.25;2;-0.5;9.0

10g;Dörig Erich;*;;;;;;;;;55.75
-;;;Krähenbühl Lukas;*;;;;;;;8.75
+;4;8.75;Elmer Adrian;*;17;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Schneider Domenic;***;2;57.75;7;18.25;2;-0.5;8.5
+;11;27.25;Funk Nicola (1999);;12;55.25;7;28.25;-4;1.0;9.75
-;9;37.0;Bäbler Sandro;**;16;54.25;9;37.0;0;0.0;8.75
+;13;45.75;Oettli Silvio (2000);;15;54.5;12;46.0;-1;0.25;10.0

11a;Rüegg Fabian;*;;;;;;;;;55.5
+;;;Bickel Stefan;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;10;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Burkhard Tobias;;20;53.25;5;18.75;-2;0.5;10.0
+;7;28.25;Junker Nik;;16;54.25;6;28.5;-1;0.25;10.0
-;4;38.25;Odermatt Christoph;*;13;55.0;6;37.75;2;-0.5;8.75
o;8;47.0;Krähenbühl Tobias;***;7;56.5;10;46.5;2;-0.5;8.5

11b;Morger Adrian;*;;;;;;;;;55.5
-;;;Elmer Adrian;*;;;;;;;8.75
+;4;8.75;Hugener Adrian (2000);;24;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Lehmann Philipp (1999);;13;55.0;5;18.75;-1;0.25;9.75
o;7;28.25;Schneider Domenic;***;2;57.75;7;28.25;0;0.0;8.5
+;10;36.75;Raschle Adrian;;11;55.5;9;37.0;-1;0.25;10.0
o;9;46.75;Bäbler Dominik;*;7;56.5;9;46.75;0;0.0;8.75

11c;Raschle Adrian;;;;;;;;;;55.5
+;;;Glättli Benny;;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;3;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Grimm Michael;;25;35.25;7;18.25;1;-0.25;10.0
o;6;28.5;Bickel Roman;*;5;57.0;7;28.25;1;-0.25;8.5
o;9;37.0;Morger Adrian;*;11;55.5;10;36.75;1;-0.25;8.5
+;14;45.5;Neff Florian;;17;54.0;14;45.5;0;0.0;10.0

11d;Braun Mathias;*;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
o;5;8.5;Koch Reto;;9;56.0;3;9.0;-2;0.5;8.5
+;11;17.0;Lusti Remo (2001);;19;53.5;7;18.25;-4;1.25;10.0
-;12;27.0;Hurschler Michael;;16;54.25;12;27.0;0;0.0;8.75
+;14;35.75;Rüegg Patrick (1999);;16;54.25;10;36.75;-4;1.0;9.75
+;14;45.5;Hänni Marc (2001);;16;54.25;13;45.75;-1;0.25;10.0

11e;Wey Nicola;*;;;;;;;;;55.5
o;;;Vögeli Sven;*;;;;;;;8.5
+;5;8.5;Fässler Michael (1999);;22;36.75;2;9.75;-3;1.25;10.0
o;6;18.5;Vogel Thomas;;9;56.0;2;19.75;-4;1.25;8.5
+;12;27.0;Manser Adrian;;24;35.5;12;27.0;0;0.0;10.0
-;9;37.0;Krähenbühl Lukas;*;12;55.25;10;36.75;1;-0.25;8.75
+;13;45.75;Ott Dominik;*;17;54.0;14;45.5;1;-0.25;9.75

11f;Pianta Christian;;;;;;;;;;55.5
o;;;Vogel Thomas;;;;;;;;8.5
+;5;8.5;Pallaoro Luca;;21;52.75;4;8.75;-1;0.25;10.0
-;6;18.5;Rüegg Patrick (1999);;16;54.25;7;18.25;1;-0.25;8.75
o;11;27.25;Korrodi Paul;*;15;54.5;11;27.25;0;0.0;8.5
+;14;35.75;Burkhard Tobias;;20;53.25;14;35.75;0;0.0;10.0
+;13;45.75;Kiener Raphael (2000);;16;54.25;13;45.75;0;0.0;9.75

11g;Dändliker Hansheinrich;;;;;;;;;;55.5
+;;;Schweingruber Thomas;;;;;;;;10.0
+;1;10.0;Läng Dominick;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Ammann Rico;*;10;55.75;6;18.5;5;-1.5;8.75
o;5;28.75;Bühler Ernst;**;9;56.0;6;28.5;1;-0.25;8.5
+;8;37.25;Funk Nicola (1999);;12;55.25;9;37.0;1;-0.25;9.75
o;8;47.0;Schudel Simon;*;4;57.25;7;47.25;-1;0.25;8.5

11h;Bischof Martin;;;;;;;;;;55.5
+;;;Knabe Robert;;;;;;;;9.75
-;2;9.75;Kunz Daniel;;8;56.25;1;10.0;-1;0.25;8.75
o;6;18.5;Schmid Dominik;**;6;56.75;6;18.5;0;0.0;8.5
+;12;27.0;Bürgler Patrick;;24;35.5;12;27.0;0;0.0;10.0
o;9;37.0;Kuster Thomas;*;15;54.5;12;36.25;3;-0.75;8.5
+;14;45.5;Fäh Tobias;;17;54.0;14;45.5;0;0.0;10.0

11i;Wittenwiler Roman;;;;;;;;;;55.5
+;;;Schwyn Patrick (1999);;;;;;;;10.0
o;1;10.0;Schneider Mario;**;4;57.25;4;8.75;3;-1.25;8.5
