3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
+;6;18.75;Fankhauser Kurt;**;12;55.75;10;17.5;4;-1.25;9.75
o;5;28.5;Hasler Florian;**;15;55.0;9;27.5;4;-1.0;8.5
+;10;37.0;Doppmann Ueli (1998);;16;54.75;10;37.0;0;0.0;10.0
-;7;47.0;Ambühl Joel (1998);;10;56.25;6;47.25;-1;0.25;8.75

12b;Emmenegger Lukas;;;;;;;;;;55.75
+;;;Duss Fabian;;;;;;;;10.0
+;2;10.0;Wigger Florian (1998);;23;53.0;2;10.0;0;0.0;10.0
o;2;20.0;Egli Pirmin;**;12;55.75;7;18.5;5;-1.5;8.5
-;5;28.5;Fässler Dominic;*;27;45.0;9;27.5;4;-1.0;9.0
o;8;37.5;Graber Michael;*;9;56.5;10;37.0;2;-0.5;8.5
+;11;46.0;Vogel Manuel (1998);;18;54.25;12;45.75;1;-0.25;9.75

12c;Reichmuth Marco;*;;;;;;;;;55.75
-;;;Schärli Pius;*;;;;;;;9.0
o;4;9.0;Suppiger Martin;***;7;57.0;5;8.75;1;-0.25;8.5
+;10;17.5;Wicki Kevin;;17;54.5;6;18.75;-4;1.25;9.75
-;10;27.25;Felder Seppi;;7;57.0;5;28.5;-5;1.25;9.0
+;13;36.25;Elmiger Andreas;;18;54.25;10;37.0;-3;0.75;9.75
+;11;46.0;Bucher Thomas;;16;54.75;11;46.0;0;0.0;9.75

12d;Müller Roger;;;;;;;;;;55.75
+;;;Schmid Simon (2000);;;;;;;;9.75
-;3;9.75;Thierstein Marco;;16;54.75;2;10.0;-1;0.25;9.0
o;6;18.75;Suppiger Werner;**;9;56.5;9;17.75;3;-1.0;8.5
+;10;27.25;Marti Lukas;;37;26.75;12;26.75;2;-0.5;10.0
o;9;37.25;Vonlaufen Alexander;**;12;55.75;9;37.25;0;0.0;8.5
+;12;45.75;Michel Silvan;;20;53.75;14;45.25;2;-0.5;10.0

12e;Vonlaufen Alexander;**;;;;;;;;;55.75
