3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
+;11;36.75;Aellen Philipp;*;14;55.0;11;36.75;0;0.0;10.0
o;10;46.75;Gnägi Florian;***;5;57.25;8;47.25;-2;0.5;8.5

13b;Moser Michael;**;;;;;;;;;55.25
+;;;Schletti Andreas;*;;;;;;;9.75
o;3;9.75;Alpiger Nick;***;5;57.25;3;9.75;0;0.0;8.5
+;8;18.25;Neukomm Thierry;;18;54.0;8;18.25;0;0.0;10.0
o;5;28.25;Roschi Ruedi;**;10;56.0;7;27.75;2;-0.5;8.5
+;11;36.75;Leuenberger Michael;*;12;55.5;9;37.25;-2;0.5;9.75
-;11;46.5;Kämpf Alexander;**;15;54.75;13;46.0;2;-0.5;8.75

13c;Wehrli Christian;*;;;;;;;;;55.25
+;;;Schenk Adrian;*;;;;;;;9.75
o;3;9.75;Staudenmann Fabian (2000);**;9;56.25;2;10.0;-1;0.25;8.5
+;8;18.25;Steffen Patrick;;23;52.75;7;18.5;-1;0.25;9.75
o;6;28.0;Renfer Lukas;**;5;57.25;3;28.75;-3;0.75;8.5
-;12;36.5;Urfer Simon;*;20;53.5;14;36.0;2;-0.5;8.75
+;16;45.25;De Fusco Dario;*;22;53.0;19;44.5;3;-0.75;10.0

13d;Thomet Adrian;**;;;;;;;;;55.25
o;;;Luginbühl Hanspeter;**;;;;;;;8.5
+;6;8.5;Klossner Sven;;33;34.25;5;8.75;-1;0.25;10.0
o;7;18.5;Sempach Thomas;***;4;58.0;7;18.5;0;0.0;8.5
+;10;27.0;Waber Lorenz;*;18;54.0;10;27.0;0;0.0;9.75
o;11;36.75;Röthlisberger Simon;**;1;110.75;1;74.25;-10;37.5;8.5
+;16;45.25;Kropf Thomas;*;19;53.75;16;45.25;0;0.0;10.0

13e;Roth Philipp;***;;;;;;;;;55.25
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;6;8.5;Schlüchter Colin;*;12;55.5;3;9.75;-3;1.25;9.75
-;8;18.25;Roschi Ruedi;**;10;56.0;5;19.0;-3;0.75;8.75
+;10;27.0;Kämpf Lorenz;*;26;44.25;10;27.0;0;0.0;9.75
+;11;36.75;Pulfer Thomas;*;18;54.0;10;37.0;-1;0.25;9.75
-;11;46.5;Leuppi Samir;**;11;55.75;9;47.0;-2;0.5;8.75

14a;Aellen Philipp;*;;;;;;;;;55.0
+;;;Schenk Thomas;*;;;;;;;9.75
o;3;9.75;Gnägi Florian;***;5;57.25;6;8.5;3;-1.25;8.5
+;8;18.25;Ledermann Patrik;;22;53.0;7;18.5;-1;0.25;10.0
o;5;28.25;Leuppi Samir;**;11;55.75;5;28.25;0;0.0;8.5
o;11;36.75;Wüthrich Niklaus;**;13;55.25;11;36.75;0;0.0;8.5
+;16;45.25;Joss David;*;20;53.5;17;45.0;1;-0.25;9.75

14b;Schenkel Remo;*;;;;;;;;;55.0
+;;;Klossner Adrian;*;;;;;;;10.0
o;2;10.0;Schenk Patrick;***;11;55.75;5;8.75;3;-1.25;8.5
+;7;18.5;Röthlisberger Simon;;1;110.75;1;37.75;-6;19.25;9.75
o;5;28.25;Aeschbacher Matthias;**;4;58.0;4;28.5;-1;0.25;8.5
+;11;36.75;Sommer Roman;*;11;55.75;9;37.25;-2;0.5;9.75
o;11;46.5;Gerber Christian;**;6;57.0;8;47.25;-3;0.75;8.5

14c;Michel Jonas;*;;;;;;;;;55.0
-;;;Kämpf Alexander;**;;;;;;;8.75
-;5;8.75;Müller Marc;;23;52.75;3;9.75;-2;1.0;8.75
-;10;17.5;Urfer Simon;*;20;53.5;10;17.5;0;0.0;9.0
+;12;26.5;Ledermann Patrik;;22;53.0;10;27.0;-2;0.5;10.0
-;12;36.5;Wittwer Josias;*;10;56.0;9;37.25;-3;0.75;8.75
+;16;45.25;Pulfer Thomas;*;18;54.0;15;45.5;-1;0.25;9.75

14d;Zangger Dominik;*;;;;;;;;;55.0
-;;;Gerber Thomas;*;;;;;;;8.75
+;5;8.75;Wyss Kaspar (2000);;31;34.75;5;8.75;0;0.0;10.0
-;6;18.75;Inniger Thomas;**;14;55.0;5;19.0;-1;0.25;9.0
o;7;27.75;Steffen Gustav;*;8;56.5;5;28.25;-2;0.5;8.5
o;13;36.25;Hadorn Christian;*;16;54.5;13;36.25;0;0.0;8.75
+;17;45.0;Dummermuth Ueli;;21;53.25;18;44.75;1;-0.25;10.0

14e;Beer Peter;;;;;;;;;;55.0
+;;;Graber Bänz;;;;;;;;9.75
o;3;9.75;Pulfer Thomas;*;18;54.0;6;8.5;3;-1.25;8.5
o;8;18.25;Weyermann Michael;*;10;56.0;6;18.75;-2;0.5;8.5
+;11;26.75;Rüegsegger Christian (2001);;30;35.0;13;26.25;2;-0.5;9.75
o;12;36.5;Fankhauser Reto;*;14;55.0;13;36.25;1;-0.25;8.75
+;16;45.25;Gerber Thomas;*;21;53.25;18;44.75;2;-0.5;9.75

14f;Locher Alfred;*;;;;;;;;;55.0
