4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
10b;Reichmuth Armin;*;;;;;;;;;55.0
+;;;Zürcher Ueli;*;;;;;;;9.75
-;2;9.75;Notz Beni;***;26;34.75;5;8.5;3;-1.25;8.75
-;6;18.5;Oettli Silvio;*;13;54.25;10;17.5;4;-1.0;9.0
o;8;27.5;Ambühl Joel;**;4;56.75;5;28.25;-3;0.75;8.5
+;12;36.0;Egli Damian;**;14;54.0;13;35.75;1;-0.25;10.0
-;9;46.0;Vogel Remo;**;10;55.0;9;46.0;0;0.0;9.0

10c;Vogel Remo;**;;;;;;;;;55.0
-;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Zbinden Marc;*;28;34.25;4;8.75;0;0.0;10.0
+;5;18.75;Rychen Roger;***;12;54.5;7;18.25;2;-0.5;9.75
-;4;28.5;Burkhalter Stefan;***;11;54.75;4;28.5;0;0.0;8.75
-;7;37.25;Betschart Patrick;*;14;54.0;9;36.75;2;-0.5;8.75
-;9;46.0;Reichmuth Armin;*;10;55.0;9;46.0;0;0.0;9.0

10d;Ettlin Stefan;**;;;;;;;;;55.0
-;;;Giger Urs;*;;;;;;;9.0
+;3;9.0;Kropf Marcel;**;9;55.5;5;8.5;2;-0.5;10.0
o;4;19.0;Burkhalter Stefan;***;11;54.75;6;18.5;2;-0.5;8.5
o;8;27.5;Heiniger Marco;*;11;54.75;8;27.5;0;0.0;8.75
+;11;36.25;Hermann Oliver;*;9;55.5;8;37.0;-3;0.75;10.0
o;8;46.25;Bieri Christoph;***;7;56.0;9;46.0;1;-0.25;8.75

11a;Bucher Christian;*;;;;;;;;;54.75
+;;;Schmid Patrick;*;;;;;;;9.75
+;2;9.75;Vollenweider Jeremy;**;26;34.75;5;8.5;3;-1.25;9.75
o;3;19.5;Suppiger René;***;9;55.5;6;18.5;3;-1.0;8.5
o;6;28.0;Gwerder Michael;**;3;57.0;4;28.5;-2;0.5;8.5
+;10;36.5;Lussi Marco;**;16;53.5;12;36.0;2;-0.5;9.75
o;8;46.25;Kindlimann Fabian;***;7;56.0;9;46.0;1;-0.25;8.5

11b;Heiniger Marco;*;;;;;;;;;54.75
+;;;Stegmüller Klemens;*;;;;;;;10.0
-;1;10.0;Kuster Marcel;***;6;56.25;3;9.0;2;-1.0;8.75
o;5;18.75;Roth Martin;**;8;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Ettlin Stefan;**;10;55.0;8;27.5;0;0.0;10.0
o;6;37.5;Waser Dominik;**;5;56.5;4;38.25;-2;0.75;8.5
-;9;46.0;Rychen Roger;***;12;54.5;10;45.75;1;-0.25;8.75

11c;Murer Andy;**;;;;;;;;;54.75
-;;;Fankhauser Reto;**;;;;;;;8.75
+;4;8.75;Oettli Silvio;*;13;54.25;3;9.0;-1;0.25;10.0
o;5;18.75;Kuster Marcel;***;6;56.25;9;17.75;4;-1.0;8.5
-;9;27.25;Hauri Urs;**;9;55.5;10;27.0;1;-0.25;8.75
+;12;36.0;Steinauer Adrian;**;18;53.0;12;36.0;0;0.0;9.75
-;10;45.75;Kurmann Toni;*;11;54.75;10;45.75;0;0.0;9.0

11d;Rohrer Ivan;**;;;;;;;;;54.75
-;;;Battaglia Ursin;**;;;;;;;8.75
-;4;8.75;Schnurrenberger Roman;**;14;54.0;4;8.75;0;0.0;8.75
+;10;17.5;Gwerder Andreas;**;27;34.5;12;17.0;2;-0.5;10.0
o;8;27.5;Alpiger Nick;***;2;57.25;7;27.75;-1;0.25;8.5
-;12;36.0;Kenel Franz-Toni;*;16;53.5;12;36.0;0;0.0;8.75
+;13;44.75;Klausner Yanick;**;14;54.0;11;45.5;-2;0.75;10.0

11e;Burkhalter Stefan;***;;;;;;;;;54.75
+;;;Suppiger René;***;;;;;;;10.0
o;1;10.0;Schuler Christian;***;2;57.25;2;9.75;1;-0.25;8.5
+;6;18.5;Ettlin Stefan;**;10;55.0;4;19.0;-2;0.5;10.0
-;4;28.5;Vogel Remo;**;10;55.0;4;28.5;0;0.0;9.0
-;6;37.5;Reichmuth Marco;**;6;56.25;4;38.25;-2;0.75;8.75
o;8;46.25;Nietlispach Pascal;**;5;56.5;7;46.5;-1;0.25;8.5

11f;Kurmann Toni;*;;;;;;;;;54.75
+;;;Odermatt Adrian (2001);*;;;;;;;9.75
-;2;9.75;Schmid Samuel;**;26;34.75;4;8.75;2;-1.0;8.75
+;6;18.5;Mangold Michael;**;24;35.25;8;18.0;2;-0.5;9.75
-;5;28.25;Forrer Arnold;***;7;56.0;9;27.25;4;-1.0;8.75
o;8;37.0;Gwerder Dario;**;9;55.5;8;37.0;0;0.0;8.75
-;10;45.75;Murer Andy;**;11;54.75;10;45.75;0;0.0;9.0

11g;Gloggner Philipp;***;;;;;;;;;54.75
o;;;Leuppi Samir;**;;;;;;;8.5
-;5;8.5;Zimmermann Martin;**;5;56.5;1;10.0;-4;1.5;8.75
+;11;17.25;Hauri Urs;**;9;55.5;6;18.5;-5;1.25;10.0
+;9;27.25;Kropf Marcel;**;9;55.5;10;27.0;1;-0.25;10.0
-;7;37.25;Rychen Roger;***;12;54.5;9;36.75;2;-0.5;9.0
o;8;46.25;Forrer Arnold;***;7;56.0;8;46.25;0;0.0;8.5

12a;Odermatt Andreas;*;;;;;;;;;54.5
-;;;Zbinden Marc;*;;;;;;;8.75
o;4;8.75;Erb Roger;**;10;55.0;5;8.5;1;-0.25;8.5
+;11;17.25;Ammann Rico;*;29;34.0;12;17.0;1;-0.25;10.0
-;9;27.25;Notz Beni;***;26;34.75;14;26.0;5;-1.25;8.75
+;12;36.0;Kennel Beat;*;19;52.75;13;35.75;1;-0.25;9.75
-;10;45.75;Schuler Philipp;**;13;54.25;11;45.5;1;-0.25;8.75

12b;Geisser Lars;**;;;;;;;;;54.5
+;;;Höfliger Andreas;**;;;;;;;10.0
o;1;10.0;Imhof Andi;***;13;54.25;4;8.75;3;-1.25;8.5
-;6;18.5;Zimmermann Martin;**;5;56.5;5;18.75;-1;0.25;9.0
+;8;27.5;Gwerder Christian;**;18;53.0;9;27.25;1;-0.25;10.0
o;6;37.5;Ulrich Andreas;***;7;56.0;6;37.5;0;0.0;8.5
o;9;46.0;Ambühl Joel;**;4;56.75;6;46.75;-3;0.75;8.5

12c;Heinzer Stefan;**;;;;;;;;;54.5
-;;;Klausner Yanick;**;;;;;;;8.75
-;4;8.75;Schmid Patrick;*;28;34.25;5;8.5;1;-0.25;8.75
-;10;17.5;Hügli Kaj;**;9;55.5;12;17.0;2;-0.5;8.75
+;13;26.25;Battaglia Ursin;**;28;34.25;15;25.75;2;-0.5;9.75
o;12;36.0;Hauri Urs;**;9;55.5;13;35.75;1;-0.25;8.5
+;14;44.5;Odermatt Adrian (2001);*;17;53.25;13;44.75;-1;0.25;10.0

12d;Rychen Roger;***;;;;;;;;;54.5
o;;;von Ah Benji;***;;;;;;;8.5
+;5;8.5;Lang Sven;**;23;35.5;2;9.75;-3;1.25;9.75
o;7;18.25;Vogel Remo;**;10;55.0;5;18.75;-2;0.5;8.5
+;11;26.75;Blaser Theo;*;19;52.75;10;27.0;-1;0.25;10.0
-;9;36.75;Gloggner Philipp;***;11;54.75;7;37.25;-2;0.5;9.0
-;10;45.75;Heiniger Marco;*;11;54.75;9;46.0;-1;0.25;8.75

12e;Wyrsch Marco;**;;;;;;;;;54.5
-;;;Döbeli Andreas;**;;;;;;;8.75
+;4;8.75;Battaglia Ursin;**;28;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Schneider Domenic;***;2;57.25;6;18.5;0;0.0;8.5
o;10;27.0;Oettli Silvio;*;13;54.25;12;26.5;2;-0.5;8.75
-;13;35.75;Schnurrenberger Roman;**;14;54.0;10;36.5;-3;0.75;8.75
+;14;44.5;Steinauer Adrian;**;18;53.0;14;44.5;0;0.0;10.0

13a;Schuler Philipp;**;;;;;;;;;54.25
+;;;Strebel Joel;**;;;;;;;9.75
o;2;9.75;Waser Dominik;**;5;56.5;2;9.75;0;0.0;8.5
-;7;18.25;Lussi Marco;**;16;53.5;5;18.75;-2;0.5;8.75
+;10;27.0;Giger Urs;*;25;35.0;12;26.5;2;-0.5;10.0
o;8;37.0;Alpiger Nick;***;2;57.25;6;37.5;-2;0.5;8.5
-;11;45.5;Odermatt Andreas;*;12;54.5;10;45.75;-1;0.25;8.75

13b;Imhof Andi;***;;;;;;;;;54.25
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Geisser Lars;**;12;54.5;1;10.0;-3;1.25;9.75
o;6;18.5;Fankhauser Marco;**;2;57.25;5;18.75;-1;0.25;8.5
+;10;27.0;Dändliker Shane;**;19;52.75;10;27.0;0;0.0;10.0
-;8;37.0;Roth Martin;**;8;55.75;5;38.0;-3;1.0;8.75
o;10;45.75;Doppmann Urs;**;7;56.0;9;46.0;-1;0.25;8.5

13c;Bürli Roger;**;;;;;;;;;54.25
-;;;Streiff Dominik;*;;;;;;;8.75
-;4;8.75;Voggensperger Lars (2001);*;18;53.0;5;8.5;1;-0.25;8.75
o;10;17.5;Klausner Yanick;**;14;54.0;11;17.25;1;-0.25;8.5
+;14;26.0;Straub Robin;*;28;34.25;15;25.75;1;-0.25;9.75
o;13;35.75;Kropf Marcel;**;9;55.5;14;35.5;1;-0.25;8.5
+;15;44.25;Kennel Beat;*;19;52.75;15;44.25;0;0.0;10.0

13d;Oettli Silvio;*;;;;;;;;;54.25
-;;;Kennel Beat;*;;;;;;;9.0
o;3;9.0;Murer Andy;**;11;54.75;4;8.75;1;-0.25;8.5
-;10;17.5;Reichmuth Armin;*;10;55.0;6;18.5;-4;1.0;9.0
+;12;26.5;Wyrsch Marco;**;12;54.5;10;27.0;-2;0.5;10.0
o;10;36.5;Fankhauser Erich;***;14;54.0;14;35.5;4;-1.0;8.75
-;12;45.25;Lussi Marco;**;16;53.5;14;44.5;2;-0.75;9.0

14a;Egli Damian;**;;;;;;;;;54.0
o;;;Hermann Oliver;*;;;;;;;8.5
o;5;8.5;Strebel Joel;**;6;56.25;5;8.5;0;0.0;8.5
o;12;17.0;Odermatt Adrian (2001);*;17;53.25;11;17.25;-1;0.25;8.75
+;15;25.75;Poltera Andrin;*;29;34.0;16;25.5;1;-0.25;10.0
o;13;35.75;Reichmuth Armin;*;10;55.0;12;36.0;-1;0.25;8.5
+;15;44.25;Gwerder Christian;**;18;53.0;14;44.5;-1;0.25;9.75

